DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE
ANTITIMOCITO,TIMOGLOBULINA,LIQUIDO/SOLIDO,GENZYME
METFORMINA,JANUMET,SOLIDO,MERCK SHARP DOME
METFORMINA,JANUMET XR,SOLIDO,MERCK SHARP DOME
BOSENTAN,TRACLEER,SOLIDO,ACTELION
BOSENTAN,BOSENTAN,SOLIDO,TECNOQUIMICAS
PACLITAXEL,ABRAXANE,LIQUIDO/SOLIDO,ABRAXIS BIOSCIENCE
SALMETEROL,SERETIDE OSP,LIQUIDO,GLAXOSMITHKLINE
SALMETEROL,SERECOR,LIQUIDO,NOVAMED
SALMETEROL,SERETIDE EVOHALER,LIQUIDO,GLAXOSMITHKLINE
SALMETEROL,SERETIDE DISKUS,SOLIDO,GLAXOSMITHKLINE
VILANTEROL,RELVAR ELLIPTA,SOLIDO,GLAXOSMITHKLINE
VILANTEROL,RELVARELLIPTA,SOLIDO,GLAXOSMITHKLINE
FACTOR,IMMUNINE,LIQUIDO/SOLIDO,BAXALTA
FACTOR,BENEFIX,LIQUIDO/SOLIDO,PFIZER
FACTOR,FACTOR,LIQUIDO/SOLIDO,BAXALTA
LOPINAVIR,KALETRA,LIQUIDO,
LOPINAVIR,KALETRA,SOLIDO,ABBOTT  / ABBVIE
IMATINIB,GLIVEC,SOLIDO,NOVARTIS
AGOMELATINA,VALDOXAN,SOLIDO,LES LABORATOIRES SERVIER
AGOMELATINA,ALODIL,SOLIDO,LAFRANCOL
AMINOS,KETOSTERIL,SOLIDO,FRESENIUS
ANFOTERICINA,AMBISOME,LIQUIDO/SOLIDO,GILEAD
ANIDULAFUNGINA,ECALTA,LIQUIDO/SOLIDO,PFIZER
ANTIGENOS,SYNFLORIX,LIQUIDO/SOLIDO,GLAXOSMITHKLINE
APREPITANT,EMEND,LIQUIDO/SOLIDO,MERCK SHARP DOME
APREPITANT,FOSEMRED,LIQUIDO/SOLIDO,DR REDDYS
APREPITANT,EMEND,SOLIDO,MERCK SHARP DOME
ATOSIBAN,TRACTOCILE,LIQUIDO/SOLIDO,FERRING
BACLOFENO,SPASTIFEN,SOLIDO,ADVANCE SCIENTIFIC
BACLOFENO,LIORESAL,SOLIDO,NOVARTIS
BRINZOLAMIDA,AZOPT,LIQUIDO,NOVARTIS
BRIVARACETAM,BRIVIACT,SOLIDO,UCB
CANNABIDIOL,SATIVEX,LIQUIDO,GW PHARMA
CARBOXIMALTOSA,FERINJECT,LIQUIDO/SOLIDO,VIFOR
COMPLEJO,OCTAPLEX,LIQUIDO/SOLIDO,OCTAPHARMA
DAPTOMICINA,CUBICIN,LIQUIDO/SOLIDO,MERCK SHARP DOME
DAPTOMICINA,DAPTOMICINA,LIQUIDO/SOLIDO,BIOSPIFAR
DAPTOMICINA,DAPTOMRED,LIQUIDO/SOLIDO,DR REDDYS
DEFEROXAMINA,DESFERAL,LIQUIDO/SOLIDO,NOVARTIS
DESFLURANO,SUPRANE,LIQUIDO,BAXTER
DINOPROSTONA,PROPESS,SOLIDO,FERRING
DIOSMINA,DIOSMINA/HESPERIDINA,SOLIDO,AMERICAN GENERICS
DIOSMINA,DAFLON,SOLIDO,LES LABORATOIRES SERVIER
EMPAGLIFLOZINA,GLYXAMBI,SOLIDO,BOEHRINGER
ENOXAPARINA,CLENOX,LIQUIDO/SOLIDO,PROCAPS
ENOXAPARINA,ENOXAPARINA,LIQUIDO/SOLIDO,DELTA
ENOXAPARINA,CLEXANE,LIQUIDO/SOLIDO,SANOFI AVENTIS
EPOPROSTENOL,FLOLAN,LIQUIDO/SOLIDO,GLAXOSMITHKLINE
EPOPROSTENOL,VELETRI,LIQUIDO/SOLIDO,ACTELION
EPROSARTAN,TEVETEN PLUS,SOLIDO,LAFRANCOL
FLUVOXAMINA,VOXAMIN,SOLIDO,INCOBRA
FLUVOXAMINA,LUVOX,SOLIDO,LAFRANCOL
FOLITROPIN,GONAL-F,LIQUIDO/SOLIDO,MERCK
FOSFOLIPIDOS,CUROSURF,LIQUIDO/SOLIDO,CHIESI
FOSFOLIPIDOS,SURVANTA,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE
FOSFOMICINA,MONURIL,SOLIDO,ZAMBON
GLICLAZIDA,DIAMICRON MR,SOLIDO,LES LABORATOIRES SERVIER
INDAPAMIDA,NATRILIX,SOLIDO,LES LABORATOIRES SERVIER
INSULINA,SOLIQUA,LIQUIDO/SOLIDO,SANOFI AVENTIS
IOPROMIDA,ULTRAVIST,LIQUIDO/SOLIDO,BAYER
IRBESARTAN,COAPROVEL,SOLIDO,SANOFI AVENTIS
IRBESARTAN,IRBEPREX H,SOLIDO,SCANDINAVIA PHARMA
IRBESARTAN,IRBESARTAN/HIDROCLOROTIAZIDA,SOLIDO,TECNOQUIMICAS
IRBESARTAN,BEZART H,SOLIDO,EUROFARMA
LEVODOPA,MADOPAR,SOLIDO,ROCHE
LEVODOPA,STALEVO,SOLIDO,SANDOZ
MERCAPTAMINA,CYSTADROPS,LIQUIDO,RECORDATI RARE DISEASES
MERCAPTOPURINA,PURINETHOL,SOLIDO,ASPEN
METILFENIDATO,RITALINA,SOLIDO,NOVARTIS
METILFENIDATO,CONCERTA,SOLIDO,JANSSEN
METROTEXATO,METOJECT,LIQUIDO/SOLIDO,PHARMALAB
OLANZAPINA,ZYPREXA,SOLIDO,ELI LILLY
OLANZAPINA,OLANZAPINA,SOLIDO,LA SANTE
OLANZAPINA,OLANZAPINA,SOLIDO,SANDOZ
OMEPRAZOL,LOSEC MUPS,SOLIDO,CHEPLAPHARM
PERINDOPRIL,COVERSYL A,SOLIDO,LES LABORATOIRES SERVIER
PERINDOPRIL,COVERAM,SOLIDO,LES LABORATOIRES SERVIER
PERINDOPRIL,VIACORAM,SOLIDO,LES LABORATOIRES SERVIER
PERINDOPRIL,BI PRETERAX,SOLIDO,LES LABORATOIRES SERVIER
PERINDOPRIL,BIPRETERAX,SOLIDO,LES LABORATOIRES SERVIER
SAFINAMIDA,XADAGO,SOLIDO,ZAMBON
SELLANTE,BERIPLAST,LIQUIDO/SOLIDO,CSL
SELLANTE,TISSEEL,LIQUIDO/SOLIDO,BAXTER
SELLANTE,EVICEL,LIQUIDO/SOLIDO,JANSSEN
SEMAGLUTIDA,OZEMPIC,LIQUIDO/SOLIDO,NOVO NORDISK
SUGAMMADEX,BRIDION,LIQUIDO/SOLIDO,ORGANON
TELMISARTAN,CORDIAX AM,SOLIDO,SYNTHESIS
TELMISARTAN,CARDIOCAP,SOLIDO,LEGRAND
TELMISARTAN,RENANGIO PLUS,SOLIDO,MSN LABORATORIES PRIVATE
TERLIPRESINA,GLYPRESSIN,LIQUIDO/SOLIDO,FERRING
TERLIPRESINA,HAEMOPRESSIN,LIQUIDO/SOLIDO,ZONEPHARMA
VALSARTAN,EXFORGE,SOLIDO,NOVARTIS
VALSARTAN,VARTERAL,SOLIDO,PROCAPS
VALSARTAN,CARDIK A,SOLIDO,LEGRAND
VENETOCLAX,VENCLEXTA,SOLIDO,ABBOTT  / ABBVIE
VERAPAMILO,VERAPAMILO,SOLIDO,TECNOQUIMICAS
VERAPAMILO,VERAPAMILO,SOLIDO,LA SANTE
VERAPAMILO,ISOPTIN,SOLIDO,LAFRANCOL
VINORELBINA,VINORELBINA,LIQUIDO/SOLIDO,BLAU
VITAMINA,VITALIPID,LIQUIDO/SOLIDO,FRESENUIS
IMIGLUCERASA,BANTACE,LIQUIDO/SOLIDO,ISU
IMIGLUCERASA,CEREZYME,LIQUIDO/SOLIDO,GENZYME
FACTOR,FEIBA,LIQUIDO/SOLIDO,BAXTER
AMBRISENTAN,PULLMOVRIS,SOLIDO,THE LABS
AMBRISENTAN,AMBRISENTAN,SOLIDO,TECNOQUIMICAS
AMBRISENTAN,XETAM,SOLIDO,XINETIX PHARMA
AMBRISENTAN,BRIXENT,SOLIDO,XINETIX PHARMA
AMBRISENTAN,INFINIX,SOLIDO,HB HUMAN BIOSCIENCE
AMBRISENTAN,BEVERIX,SOLIDO,LAFRANCOL
AMBRISENTAN,ENDOBLOC,SOLIDO,CIPLA
AMBRISENTAN,BRISEN,SOLIDO,SCANDINAVIA PHARMA
TERIPARATIDA,BIOSETT,LIQUIDO/SOLIDO,BIOSIDUS
TERIPARATIDA,TEOTIDE,LIQUIDO/SOLIDO,WILLOW
TERIPARATIDA,FORTEO,LIQUIDO/SOLIDO,ELI LILLY
RALTEGRAVIR,ISENTRESS,SOLIDO,MERCK SHARP DOME
PALIVIZUMAB,SYNAGIS,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE
TEMOZOLOMIDA,TENSACTON,SOLIDO,LAFRANCOL
TEMOZOLOMIDA,TRIPZOL,SOLIDO,CIPLA
TEMOZOLOMIDA,TEMITOMA,SOLIDO,SUN PHARMACEUTICAL
TEMOZOLOMIDA,TEMAZ,SOLIDO,HETERO
TEMOZOLOMIDA,DRALITEM,SOLIDO,MONTE VERDE
TEMOZOLOMIDA,HB ONCOBRAIN,SOLIDO,HB HUMAN BIOSCIENCE
TEMOZOLOMIDA,TEDOLIX,SOLIDO,PROCAPS
CAPECITABINA,CAPECITAL,SOLIDO,AL PHARMA
CAPECITABINA,CAPETABIN,SOLIDO,NEXT PHARMA
CAPECITABINA,CORRETAL,SOLIDO,EUROFARMA
CAPECITABINA,CEPECTIN,SOLIDO,PROCAPS
CAPECITABINA,KPBYN,SOLIDO,PISA
CAPECITABINA,CAPEGARD,SOLIDO,CIPLA
CAPECITABINA,CAPIIBINE,SOLIDO,DR REDDYS
CAPECITABINA,CAPECITABINA,SOLIDO,SANDOZ
CAPECITABINA,CAXETA,SOLIDO,SUN PHARMACEUTICAL
CAPECITABINA,CAPECITABINA,SOLIDO,SUN PHARMACEUTICAL
CAPECITABINA,CAPEC,SOLIDO,HETERO
DASATINIB,LITEDA,SOLIDO,MONTE VERDE
DASATINIB,REMBRE,SOLIDO,LKM
DASATINIB,ETERSA,SOLIDO,SYNTHESIS
DASATINIB,SPRYCEL,SOLIDO,BRISTOL MYERS SQUIBB
BORTEZOMIB,TEBIDE,LIQUIDO/SOLIDO,GENBIE
BORTEZOMIB,EGIDON,LIQUIDO/SOLIDO,RICHMOND
BORTEZOMIB,MIBZO,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE
BORTEZOMIB,BELOCEF,LIQUIDO/SOLIDO,LEGRAND
BORTEZOMIB,FIZOMEB,LIQUIDO/SOLIDO,PFIZER
BORTEZOMIB,PORIX,LIQUIDO/SOLIDO,XINETIX PHARMA
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,MASTERS PHARMACEUTICALS
BORTEZOMIB,UNITEZO,LIQUIDO/SOLIDO,PROCLIN
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,KEMEX
BORTEZOMIB,BORTEMIX,LIQUIDO/SOLIDO,LAFRANCOL
BORTEZOMIB,ZOMITEC,LIQUIDO/SOLIDO,PROCAPS
BORTEZOMIB,REBTYK,LIQUIDO/SOLIDO,PISA
BORTEZOMIB,BOTEMIB,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,LIBRA
BORTEZOMIB,TIZOB,LIQUIDO/SOLIDO,LKM
BORTEZOMIB,BORTESUN,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL
BORTEZOMIB,BOZIB,LIQUIDO/SOLIDO,DR REDDYS
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,ROPSOHN
BORTEZOMIB,BORTEN,LIQUIDO/SOLIDO,HETERO
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,SANDOZ
BEVACIZUMAB,ZIRABEV,LIQUIDO/SOLIDO,PFIZER
BEVACIZUMAB,MVASI,LIQUIDO/SOLIDO,AMGEN
INFLIXIMAB,AVSOLA,LIQUIDO/SOLIDO,AMGEN
INFLIXIMAB,REMSIMA,LIQUIDO/SOLIDO,CELLTRION
ADALIMUMAB,IDACIO,LIQUIDO/SOLIDO,FRESENIUS
ADALIMUMAB,HYRIMOZ,LIQUIDO/SOLIDO,SANDOZ
ADALIMUMAB,AMGEVITA,LIQUIDO/SOLIDO,AMGEN
ADALIMUMAB,HUMIRA AC,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE
GALANTAMINA,ANTAMIN,SOLIDO,PROCAPS
VALGANCICLOVIR,RIVOL-X,SOLIDO,XINETIX PHARMA
VALGANCICLOVIR,TRASGARIV,SOLIDO,PISA
VALGANCICLOVIR,VALGOVIR,SOLIDO,HETERO
VALGANCICLOVIR,GANOCIP,SOLIDO,CIPLA
VALGANCICLOVIR,VALGANCICLOVIR,SOLIDO,GENFAR
VALGANCICLOVIR,VALKIR,SOLIDO,LEGRAND
LINEZOLID,LINOID,SOLIDO,CIPLA
LINEZOLID,GLENZOLID,SOLIDO,GLENMARK
LINEZOLID,LINEZOLID,SOLIDO,SANDOZ
LINEZOLID,MEZOLIDE,SOLIDO,BIOSPIFAR
LINEZOLID,LINEXA,SOLIDO,LAFRANCOL
LINEZOLID,BIOZOLIDA,SOLIDO,BIOFLUIDOS & FARMA
TACROLIMUS,TACROLIMUS,SOLIDO,VEROS HEALTH
TACROLIMUS,FRAMEBIN,SOLIDO,PISA
TACROLIMUS,PREJOTAC,SOLIDO,ALKEM
ALGLUCOSIDASA,MYOZYME,LIQUIDO/SOLIDO,GENZYME
BICALUTAMIDA,BICALEX,SOLIDO,LEGRAND
BICALUTAMIDA,BICAHET,SOLIDO,HETERO
BICALUTAMIDA,HB ONCOPROST,SOLIDO,HB HUMAN BIOSCIENCE
BICALUTAMIDA,ANDRODEX,SOLIDO,PINT PHARMA
BICALUTAMIDA,BICALIDA,SOLIDO,CIPLA
BICALUTAMIDA,BICALUTAMIDA,SOLIDO,HEALTH NET
BICALUTAMIDA,BICALUTAMIDA,SOLIDO,KERN PHARMA
CASPOFUNGINA,CASPOFUNGINAA,LIQUIDO/SOLIDO,SRS LIFE
CASPOFUNGINA,CAFUGIN,LIQUIDO/SOLIDO,VITALIS
CASPOFUNGINA,CASPOFUNGINA,LIQUIDO/SOLIDO,NORSTRAY NUART
CASPOFUNGINA,CASPOFUNGINA70,LIQUIDO/SOLIDO,NORSTRAY Y NUART
CASPOFUNGINA,CAXOFU,LIQUIDO/SOLIDO,XINETIX PHARMA
CASPOFUNGINA,CASPOVITAE,LIQUIDO/SOLIDO,GALENICUM HEALTH
CASPOFUNGINA,CASPOFUNGINA,LIQUIDO/SOLIDO,AVALON
CASPOFUNGINA,ESTATIN 70,LIQUIDO/SOLIDO,CIPLA
CASPOFUNGINA,ESTASIN 50,LIQUIDO/SOLIDO,CIPLA
CASPOFUNGINA,CASPOFUNGINA,LIQUIDO/SOLIDO,BIOSPIFAR
CASPOFUNGINA,SUVEPUR,LIQUIDO/SOLIDO,PISA
CASPOFUNGINA,CASPONGYN,LIQUIDO/SOLIDO,PROCAPS
CASPOFUNGINA,CASPOFUNGINA,LIQUIDO/SOLIDO,SETAA
CASPOFUNGINA,CAPSIN,LIQUIDO/SOLIDO,LEGRAND
CASPOFUNGINA,KAFUM,LIQUIDO/SOLIDO,DR REDDYS
CICLOSPORINA,CITABICLOS,SOLIDO,MEGALABS
DABIGATRAN,DABITROM,SOLIDO,ALKEM
DECITABINA,NALBINE,LIQUIDO/SOLIDO,AL PHARMA
DECITABINA,DECICIP,LIQUIDO/SOLIDO,CIPLA
DECITABINA,REDTIBIN,LIQUIDO/SOLIDO,DR REDDYS
DECITABINA,DACOGEN,LIQUIDO/SOLIDO,JANSSEN
DEFERASIROX,FERRINOVA,SOLIDO,LEGRAND
DEFERASIROX,FERASIRO,SOLIDO,MSN LABORATORIES PRIVATE
DEFERASIROX,JEDOXRED,SOLIDO,DR REDDYS
DEFERASIROX,JADENU,SOLIDO,NOVARTIS
ESOMEPRAZOL,YESOM,LIQUIDO/SOLIDO,ASPIRO PHARMA
ESOMEPRAZOL,ESOMEPRAZOL,LIQUIDO/SOLIDO,PHARMAYECT
ESOMEPRAZOL,ESOMEPRAZOL,LIQUIDO/SOLIDO,AVALON
ESOMEPRAZOL,SOMPRAZ,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL
ESOMEPRAZOL,DELSOMEP,LIQUIDO/SOLIDO,DELTA
ESOMEPRAZOL,EZOLIUM,LIQUIDO/SOLIDO,PROCAPS
ESOMEPRAZOL,EZOLE,LIQUIDO/SOLIDO,BUSSIE
EXEMESTANO,EXEVITAE,SOLIDO,GALENICUM HEALTH
EXEMESTANO,TUGEM,SOLIDO,GENEPHARM
EXEMESTANO,EXTANO,SOLIDO,LEGRAND
EXEMESTANO,EXEMESTANO,SOLIDO,PINT PHARMA
FULVESTRANT,FULVESTRANT,LIQUIDO/SOLIDO,SANDOZ
FULVESTRANT,FLUVESTRANT,LIQUIDO/SOLIDO,KEMEX
FULVESTRANT,ERANFU,LIQUIDO/SOLIDO,DR REDDYS
GALSULFASE,NAGLAZYME,LIQUIDO/SOLIDO,BIOMARIN
IDURSULFASA,ELAPRASE,LIQUIDO/SOLIDO,BAXALTA
INSULINA,FIASP,LIQUIDO/SOLIDO,NOVO NORDISK
INSULINA,TOUJEO,LIQUIDO/SOLIDO,SANOFI AVENTIS
INSULINA,BASAGLAR,LIQUIDO/SOLIDO,ELI LILLY
INSULINA,GLARITUS,LIQUIDO/SOLIDO,ELIXYM BIOPHARMACEUTICAL
INSULINA,BASALOG,LIQUIDO/SOLIDO,BIOCON
INSULINA,ADMELOG,LIQUIDO/SOLIDO,SANOFI
INSULINA,HUMALOG KWIKPEN,LIQUIDO/SOLIDO,ELI LILLY
LARONIDASA,ALDURAZYME,LIQUIDO/SOLIDO,GENZYME
LEFLUNOMIDA,LEFLUNOMIDA,SOLIDO,CLINICOS Y HOSPITALARIOS
LEFLUNOMIDA,ZORATOMIN,SOLIDO,HB HUMAN BIOSCIENCE
LEFLUNOMIDA,LERADA,SOLIDO,ALTADIS
LEFLUNOMIDA,LEFLUVITAE,SOLIDO,GALENICUM HEALTH
LEFLUNOMIDA,IMMUNEX,SOLIDO,NOVAMED
LEFLUNOMIDA,LEFLAVA,SOLIDO,PINT PHARMA
LEUPRORELINA,LEOPROSTIN,LIQUIDO/SOLIDO,CHALVER
LEVETIRACETAM,LEVETIRACETAM,SOLIDO,SANOFI AVENTIS
LEVETIRACETAM,VECETAM,SOLIDO,RICHMOND
LEVETIRACETAM,LEVETIRACETAM,SOLIDO,SANDOZ
LEVETIRACETAM,LEVETIRACETAM,SOLIDO,LAPROFF
LEVETIRACETAM,LEVTEC,SOLIDO,NEXT PHARMA SOURCING
LEVETIRACETAM,LEVETIRACETAM,SOLIDO,MK
LEVETIRACETAM,LEVEVITAE,SOLIDO,GALENICUM HEALTH
LEVETIRACETAM,ACIZAN,SOLIDO,ALTADIS
LEVETIRACETAM,LEVIPIL,SOLIDO,SUN PHARMACEUTICAL
LEVETIRACETAM,ETITAM,SOLIDO,BRAINPHARMA
LEVETIRACETAM,LEVETIRACETAM,SOLIDO,WINTHROP
LEVETIRACETAM,ICTAFIN,SOLIDO,NOVAMED
LEVETIRACETAM,KEPERTAN,SOLIDO,AH ROBINS
LEVETIRACETAM,KOPODEX,SOLIDO,SYNTHESIS
LEVETIRACETAM,PEGRA,SOLIDO,PINT PHARMA
LEVETIRACETAM,CEUMID,SOLIDO,SCANDINAVIA PHARMA
LINEZOLID,LEZOPISA,LIQUIDO/SOLIDO,PISA
LINEZOLID,DILOZELD UF,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC
LINEZOLID,LINEZOLID,LIQUIDO/SOLIDO,BRAUN
LINEZOLID,LIZOLID,LIQUIDO/SOLIDO,STEIN
LINEZOLID,LOZYD,LIQUIDO/SOLIDO,CORPAUL
LINEZOLID,KABIZOLID,LIQUIDO/SOLIDO,FRESENIUS
LINEZOLID,MEZOLIDE,LIQUIDO/SOLIDO,BIOSPIFAR
LINEZOLID,ENVYLIZ,LIQUIDO/SOLIDO,AMAREY NOVAMEDICAL
LINEZOLID,LINEXA,LIQUIDO/SOLIDO,LAFRANCOL
LINEZOLID,ZOLIDONE,LIQUIDO/SOLIDO,ADS PHARMA
LINEZOLID,VOZOLID,LIQUIDO/SOLIDO,PROCAPS
LINEZOLID,LINOTED,LIQUIDO/SOLIDO,DUMIAN
LINEZOLID,BIOZOLIDA,LIQUIDO/SOLIDO,BIOFLUIDOS & FARMA
LINEZOLID,LIOLID,LIQUIDO/SOLIDO,BAXTER
LINEZOLID,LITASINA,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,NORSTRAY Y NUART
MEROPENEM,ACUS,LIQUIDO/SOLIDO,MEGALABS
MEROPENEM,KABIPENEM,LIQUIDO/SOLIDO,FRESENIUS
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,VICAR
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,ANTIBIOTICOS DE COLOMBIA
MEROPENEM,BIOSMER,LIQUIDO/SOLIDO,BIOSELECT
MEROPENEM,MEXOPEN,LIQUIDO/SOLIDO,XINETIX PHARMA
MEROPENEM,MEROGRAM,LIQUIDO/SOLIDO,AUROBINDO
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,PHARMAYECT
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,COLMED
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,FARMALOGICA
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,VENUS
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,BLAU
MEROPENEM,VILIPEN,LIQUIDO/SOLIDO,LEGRAND
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,LABORATORIO INTERNACIONAL ARGENTINO
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,VITALIS
METILPREDNISOLONA,SOLU-MEDROL,LIQUIDO/SOLIDO,PFIZER
METILPREDNISOLONA,AUROMPSS,LIQUIDO/SOLIDO,AUROBINDO
METILPREDNISOLONA,METILPREDNISOLONA,LIQUIDO/SOLIDO,VITALIS
METILPREDNISOLONA,SUMITRIC,LIQUIDO/SOLIDO,BLAU
METILPREDNISOLONA,DEPO,METILPREDNISOLONA 200MG/5ML (40MG/1ML),INYECTABLE X 1
METILPREDNISOLONA,DEPO,METILPREDNISOLONA 40MG/1ML (40MG/1ML),INYECTABLE X 1
MICOFENOLICO,MYFETIL,SOLIDO,HB HUMAN BIOSCIENCE
MICOFENOLICO,MYFETIL,SOLIDO,HB HUMAN
MICOFENOLICO,MYCOTAS,SOLIDO,INTAS
MICOFENOLICO,MICOFENOLATO DE MOFETILO,SOLIDO,ALKEM
MICOFENOLICO,MICOFENOLATO,SOLIDO,ALKEM
MICOFENOLICO,TECNOZIDA,SOLIDO,ALTADIS
MICOFENOLICO,FELONEX,SOLIDO,PROCAPS
MICOFENOLICO,MYCOKEM,SOLIDO,ALKEM
MICOFENOLICO,MICOFENOLATO,SOLIDO,SANDOZ
MICOFENOLICO,MICOFENOLATO MOFETILO,SOLIDO,SANDOZ
MICOFENOLICO,MICOFENOLATO,SOLIDO,PISA
MICOFENOLICO,MICOFLAVIN,SOLIDO,SCANDINAVIA PHARMA
OCTREOTIDO,INSOTIDE,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE
OCTREOTIDO,BADASTIN,LIQUIDO/SOLIDO,CLOSTER PHARMA
OCTREOTIDO,BADASTIN,LIQUIDO/SOLIDO,BENDALIS
OCTREOTIDO,OCTRIDE,LIQUIDO/SOLIDO,CHALVER
PEMETREXED,PEXED,LIQUIDO/SOLIDO,GENBIE
PEMETREXED,PEMETREXED,LIQUIDO/SOLIDO,MASTERS PHARMACEUTICALS
PEMETREXED,SUMITREXED,LIQUIDO/SOLIDO,BLAU
PEMETREXED,PEMETREXED,LIQUIDO/SOLIDO,AL PHARMA
PEMETREXED,NEXTREXED,LIQUIDO/SOLIDO,NEXT PHARMA SOURCING
PEMETREXED,PEMETA,LIQUIDO/SOLIDO,HETERO
PEMETREXED,PRELUN,LIQUIDO/SOLIDO,LEGRAND
PEMETREXED,PLEUREX,LIQUIDO/SOLIDO,AL PHARMA
PEMETREXED,TAXITAN,LIQUIDO/SOLIDO,PROCAPS
PEMETREXED,PRELONEX,LIQUIDO/SOLIDO,RICHMOND
PEMETREXED,PEMETREXED,LIQUIDO/SOLIDO,FRESENIUS
PEMETREXED,REVOTRAIN,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE
PEMETREXED,PEMETREXED,LIQUIDO/SOLIDO,LIBRA
PEMETREXED,VENPREX,LIQUIDO/SOLIDO,VENUS
PEMETREXED,PEMGEM,LIQUIDO/SOLIDO,DR REDDYS
PEMETREXED,PEMETREXED,LIQUIDO/SOLIDO,LKM
PEMETREXED,PEMETREXED,LIQUIDO/SOLIDO,SANDOZ
PEMETREXED,PEMETREXED,LIQUIDO/SOLIDO,COMERCIAL MEDICA
PEMETREXED,PAXIB,LIQUIDO/SOLIDO,GLENMARK
PEMETREXED,PEXITAZ,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL
PEMETREXED,PEMETREXED,LIQUIDO/SOLIDO,ROPSOHN
PEMETREXED,MARTXEL,LIQUIDO/SOLIDO,ERIOCHEM
PEMETREXED,PEMETREXSEVEN,LIQUIDO/SOLIDO,SEVEN PHARMA
PEMETREXED,PEMEKER,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA
PEMETREXED,ALIMTA,LIQUIDO/SOLIDO,ELI LILLY
PRAMIPEXOLA,PRAXOL,SOLIDO,EUROFARMA
PRAMIPEXOLA,PRAMIPEXOL,SOLIDO,MOMENTA
PRAMIPEXOLA,PRAMIXOLE,SOLIDO,LEGRAND
PRAMIPEXOLA,PRAMIPEX,SOLIDO,SUN PHARMACEUTICAL
PREGABALINA,NERVIGABA,SOLIDO,EXELTIS
PREGABALINA,PREGABALINA,SOLIDO,SANDOZ
PREGABALINA,PREGAVITAE,SOLIDO,GALENICUM HEALTH
PREGABALINA,GABADOX,SOLIDO,PISA
PREGABALINA,DOLENCAR,SOLIDO,JUSTE
PREGABALINA,GABAPI,SOLIDO,HETERO
PREGABALINA,PROCLOR,SOLIDO,ALTADIS
PREGABALINA,NEUBALIN,SOLIDO,HETERO
PREGABALINA,EPIBALIN,SOLIDO,MSN LABORATORIES PRIVATE
PREGABALINA,PREGABALINA,SOLIDO,ECAR
PREGABALINA,PREGABYAL,SOLIDO,KERN PHARMA
PREGABALINA,LEGABIN,SOLIDO,LEGRAND
PREGABALINA,PREGABALINA,SOLIDO,ACTIFARMA
PREGABALINA,MAXGALIN,SOLIDO,SUN PHARMACEUTICAL
PREGABALINA,PREGABALINA,SOLIDO,WINTHROP
PREGABALINA,NEUPREL,SOLIDO,SALUSPHARMA
PREGABALINA,ALOND,SOLIDO,PFIZER
PREGABALINA,PREGALEX,SOLIDO,ANDROMACO
PREGABALINA,PREGABALINA,SOLIDO,MK
PREGABALINA,PREGOBIN,SOLIDO,SYNTHESIS
PREGABALINA,PRELUDYO,SOLIDO,TECNOQUIMICAS
PREGABALINA,PREGABALINA,SOLIDO,TECNOQUIMICAS
PREGABALINA,PRELUDYO,SOLIDO,MK
PREGABALINA,MARTESIA,SOLIDO,SCANDINAVIA PHARMA
PREGABALINA,MARTESIA,SOLIDO,MEGA LABS
QUETIAPINA,QUETIAPINA,SOLIDO,MOMENTA
QUETIAPINA,QUETIAPINA,SOLIDO,LEGRAND
QUETIAPINA,SEROQUEL XR,SOLIDO,ASTRAZENECA
QUETIAPINA,QUETIAPINA,SOLIDO,PAULY
QUETIAPINA,QUETIDIN,SOLIDO,LAFRANCOL
