NOMBRE DEL PRODUCTO FARMACEUTICO,TIPO DE FARMACO,NOMBRE DEL LABORATORIO OFERTANTE,PRINCIPIO ACTIVO O ASOCIACION DE PRINCIPIOS ACTIVOS,PRECIO VENTA CON IVA_EUROS,TRATAMIENTO DE LARGA DURACION,MEDICAMENTO HUERFANO
CEFUROXIMA,GENERICO,TEVA PHARMA S.L.U,CEFUROXIMA,4.84,NO,NO
CEFUROXIMA,GENERICO,TEVA PHARMA S.L.U,CEFUROXIMA,9.68,NO,NO
CEFUROXIMA,GENERICO,TEVA PHARMA S.L.U,CEFUROXIMA,19.36,NO,NO
ALGIASDIN,ORIGINAL,ISDIN S.A.,IBUPROFENO,2.5,NO,NO
GABITRIL,ORIGINAL,TEVA PHARMA S.L.U,TIAGABINA,179.48,NO,NO
GABITRIL,ORIGINAL,TEVA PHARMA S.L.U,TIAGABINA,141.28,NO,NO
BISOPROLOL,GENERICO,SANDOZ FARMACEUTICA S.A,BISOPROLOL,2.5,SI,NO
BISOPROLOL,GENERICO,SANDOZ FARMACEUTICA S.A,BISOPROLOL,2.4,SI,NO
GABITRIL,ORIGINAL,TEVA PHARMA S.L.U,TIAGABINA,75.82,NO,NO
BISOPROLOL,GENERICO,SANDOZ FARMACEUTICA S.A,BISOPROLOL,3.28,SI,NO
BISOPROLOL,GENERICO,SANDOZ FARMACEUTICA S.A,BISOPROLOL,3.06,SI,NO
BISOPROLOL,GENERICO,SANDOZ FARMACEUTICA S.A,BISOPROLOL,6.56,SI,NO
SECALIP,ORIGINAL,LACERS.A.,FENOFIBRATO,6.82,SI,NO
RISPERIDONA,GENERICO,KRKA D.D. NOVO MESTO,RISPERIDONA,2.5,NO,NO
RISPERIDONA,GENERICO,KRKA D.D. NOVO MESTO,RISPERIDONA,3.84,NO,NO
RISPERIDONA,GENERICO,KRKA D.D. NOVO MESTO,RISPERIDONA,7.66,NO,NO
RISPERIDONA,GENERICO,KRKA D.D. NOVO MESTO,RISPERIDONA,15.35,NO,NO
RAMIPRIL,GENERICO,CINFA S.A.,RAMIPRIL,4.84,SI,NO
FAMVIR,ORIGINAL,EUROMED PHARMA SPAIN S.L.,FAMCICLOVIR,15.6,NO,NO
RAMIPRIL,GENERICO,CINFA S.A.,RAMIPRIL,9.68,SI,NO
FENTANILO,GENERICO,STADA S.L,FENTANILO,7.02,NO,NO
FENTANILO,GENERICO,STADA S.L,FENTANILO,14.63,NO,NO
FENTANILO,GENERICO,STADA S.L,FENTANILO,29.25,NO,NO
FENTANILO,GENERICO,STADA S.L,FENTANILO,43.88,NO,NO
SERDOLECT,ORIGINAL,LUNDBECK ESPANA S.A.,SERTINDOL,155.66,NO,NO
FENTANILO,GENERICO,STADA S.L,FENTANILO,58.51,NO,NO
LERCANIDIPINO,GENERICO,STADA S.L,LERCANIDIPINO,6.24,NO,NO
SERDOLECT,ORIGINAL,LUNDBECK ESPANA S.A.,SERTINDOL,140.86,NO,NO
LERCANIDIPINO,GENERICO,STADA S.L,LERCANIDIPINO,12.47,NO,NO
SERDOLECT,ORIGINAL,LUNDBECK ESPANA S.A.,SERTINDOL,114.44,NO,NO
PANTOPRAZOL,GENERICO,KRKA D.D. NOVO MESTO,PANTOPRAZOL,8.74,NO,NO
SERDOLECT,ORIGINAL,LUNDBECK ESPANA S.A.,SERTINDOL,58.29,NO,NO
PANTOPRAZOL,GENERICO,KRKA D.D. NOVO MESTO,PANTOPRAZOL,17.48,NO,NO
VENLAFAXINA,GENERICO,BLUEFISH PHARMA S.L.U,VENLAFAXINA,9.59,NO,NO
SUMATRIPTAN,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,SUMATRIPTAN,12.18,NO,NO
SEREVENT,ORIGINAL,GLAXOSMITHKLINE S.A.,SALMETEROL,29.58,SI,NO
MANIDIPINO,GENERICO,TEVA PHARMA S.L.U,MANIDIPINO,7.09,NO,NO
MANIDIPINO,GENERICO,TEVA PHARMA S.L.U,MANIDIPINO,14.17,NO,NO
SERTRALINA,GENERICO,BLUEFISH PHARMA S.L.U,SERTRALINA,5.84,NO,NO
SERTRALINA,GENERICO,BLUEFISH PHARMA S.L.U,SERTRALINA,11.66,NO,NO
QUENTIAX,GENERICO,KRKA D.D. NOVO MESTO,QUETIAPINA,2.5,NO,NO
QUENTIAX,GENERICO,KRKA D.D. NOVO MESTO,QUETIAPINA,8.1,NO,NO
QUENTIAX,GENERICO,KRKA D.D. NOVO MESTO,QUETIAPINA,32.41,NO,NO
CLIMEN,ORIGINAL,BAYER HISPANIA S.L,ESTRADIOL,3.14,NO,NO
QUENTIAX,GENERICO,KRKA D.D. NOVO MESTO,QUETIAPINA,64.82,NO,NO
QUENTIAX,GENERICO,KRKA D.D. NOVO MESTO,QUETIAPINA,97.22,NO,NO
NOLPAZA,GENERICO,KRKA D.D. NOVO MESTO,PANTOPRAZOL,8.74,NO,NO
NOLPAZA,GENERICO,KRKA D.D. NOVO MESTO,PANTOPRAZOL,17.48,NO,NO
NEMEA,GENERICO,ADAMED LABORATORIOS S.L.U,CLOZAPINA,3.54,NO,NO
NEMEA,GENERICO,ADAMED LABORATORIOS S.L.U,CLOZAPINA,14.17,NO,NO
CAPTOPRIL,GENERICO,STADA S.L,CAPTOPRIL,3.53,SI,NO
RALOXIFENO,GENERICO,CINFA S.A.,RALOXIFENO,20.64,NO,NO
LAMICTAL,ORIGINAL,GLAXOSMITHKLINE S.A.,LAMOTRIGINA,26.35,SI,NO
TRAMADOL,GENERICO,AUROVITAS SPAIN S.A.U,TRAMADOL,8.27,NO,NO
TRAMADOL,GENERICO,AUROVITAS SPAIN S.A.U,TRAMADOL,24.82,NO,NO
LAMICTAL,ORIGINAL,GLAXOSMITHKLINE S.A.,LAMOTRIGINA,28.24,SI,NO
LAMICTAL,ORIGINAL,GLAXOSMITHKLINE S.A.,LAMOTRIGINA,13.18,SI,NO
SUMATRIPTAN,GENERICO,BLUEFISH PHARMA S.L.U,SUMATRIPTAN,12.18,NO,NO
FLUOXETINA,GENERICO,APOTEX ESPANA S.L,FLUOXETINA,2.5,NO,NO
BAYCIP,ORIGINAL,BAYER HISPANIA S.L,CIPROFLOXACINO,5.06,NO,NO
FLUOXETINA,GENERICO,APOTEX ESPANA S.L,FLUOXETINA,5.25,NO,NO
ESCITALOPRAM,GENERICO,TARBIS FARMA S.L.,ESCITALOPRAM,13.11,NO,NO
ESCITALOPRAM,GENERICO,TARBIS FARMA S.L.,ESCITALOPRAM,26.23,NO,NO
ESCITALOPRAM,GENERICO,TARBIS FARMA S.L.,ESCITALOPRAM,17.48,NO,NO
ESCITALOPRAM,GENERICO,TARBIS FARMA S.L.,ESCITALOPRAM,34.97,NO,NO
ESCITALOPRAM,GENERICO,TARBIS FARMA S.L.,ESCITALOPRAM,8.74,NO,NO
RALOXIFENO,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,RALOXIFENO,20.64,NO,NO
DEPAKINE,ORIGINAL,SANOFI AVENTIS S.A,VALPROATO,7.23,SI,NO
DEPAKINE,ORIGINAL,SANOFI AVENTIS S.A,VALPROICO,12.05,SI,NO
TRAMADOL,GENERICO,AUROVITAS SPAIN S.A.U,TRAMADOL,6.21,NO,NO
TRAMADOL,GENERICO,AUROVITAS SPAIN S.A.U,TRAMADOL,18.62,NO,NO
ONDANSETRON,GENERICO,BLUEFISH PHARMA S.L.U,ONDANSETRON,22.21,NO,NO
ONDANSETRON,GENERICO,BLUEFISH PHARMA S.L.U,ONDANSETRON,44.41,NO,NO
METFORMINA,GENERICO,BLUEFISH PHARMA S.L.U,METFORMINA,1.94,NO,NO
MODIODAL,ORIGINAL,TEVA PHARMA S.L.U,MODAFINILO,83.89,NO,NO
MANIDIPINO,GENERICO,SANDOZ FARMACEUTICA S.A,MANIDIPINO,7.09,NO,NO
MANIDIPINO,GENERICO,SANDOZ FARMACEUTICA S.A,MANIDIPINO,14.17,NO,NO
MODIODAL,ORIGINAL,TEVA PHARMA S.L.U,MODAFINILO,41.95,NO,NO
LETROZOL,GENERICO,TEVA PHARMA S.L.U,LETROZOL,92.1,NO,NO
TRAMADOL/PARACETAMOL,GENERICO,TEVA PHARMA S.L.U,TRAMADOL,2.97,NO,NO
PANTOPRAZOL,GENERICO,BLUEFISH PHARMA S.L.U,PANTOPRAZOL,8.74,NO,NO
PANTOPRAZOL,GENERICO,BLUEFISH PHARMA S.L.U,PANTOPRAZOL,17.48,NO,NO
AGUA,ORIGINAL,SERRA PAMIES S.A.,AGUA,13.89,NO,NO
CLORURO,ORIGINAL,SERRA PAMIES S.A.,SODIO,13.89,NO,NO
FOSITENS,ORIGINAL,SWEDISH ORPHAN BIOVITRUM S.L,HIDROCLOROTIAZIDAFOSINOPRIL,9.82,NO,NO
IRBESARTAN,GENERICO,SUN PHARMA LABORATORIOS S.L,IRBESARTAN,7.74,NO,NO
IRBESARTAN,GENERICO,SUN PHARMA LABORATORIOS S.L,IRBESARTAN,15.49,NO,NO
SEPTOCIPRO,ORIGINAL,NEURAXPHARM SPAIN S.L.U,CIPROFLOXACINO,5.01,NO,NO
OTOCIPRIN,ORIGINAL,FARDI S.A.,CIPROFLOXACINO,5.01,NO,NO
CIPROFLOXACINO,ORIGINAL,NEURAXPHARM SPAIN S.L.U,CIPROFLOXACINO,5.01,NO,NO
FINASTERIDA,GENERICO,STADA S.L,FINASTERIDA,9.1,NO,NO
LOSARTAN,GENERICO,STADA S.L,LOSARTAN,5.84,NO,NO
VENLAFAXINA,GENERICO,STADA S.L,VENLAFAXINA,9.59,NO,NO
VENLAFAXINA,GENERICO,STADA S.L,VENLAFAXINA,19.15,NO,NO
RAMIPRIL,ORIGINAL,TEVA PHARMA S.L.U,RAMIPRIL,2.5,SI,NO
RAMIPRIL,ORIGINAL,TEVA PHARMA S.L.U,RAMIPRIL,4.84,SI,NO
RAMIPRIL,ORIGINAL,TEVA PHARMA S.L.U,RAMIPRIL,9.68,SI,NO
LOSARTAN/HIDROCLOROTIAZIDA,GENERICO,NORMON S.A.,HIDROCLOROTIAZIDALOSARTAN,5.84,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,166.05,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,143.28,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,197.33,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,54.58,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,28.26,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,19.15,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,38.29,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,11.49,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,11.47,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,14.35,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,86.05,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,107.56,NO,NO
EFFERALGAN,ORIGINAL,UPSA SAS,PARACETAMOL,1.45,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,3.82,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,114.9,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,7.66,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,57.45,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,57.37,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,71.72,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,359.3,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,35.51,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,300.34,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,28.68,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,440.28,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,44.91,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,141.36,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,12.18,NO,NO
HIBOR,ORIGINAL,LABORATORIOS FARMACEUTICOS  ROVI S.A.,BEMIPARINA,6.29,NO,NO
MANIDON,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,VERAPAMILO,16.28,SI,NO
MANIDON,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,VERAPAMILO,8.6,SI,NO
LOSARTAN,GENERICO,AUROVITAS SPAIN S.A.U,LOSARTAN,8.34,SI,NO
LOSARTAN,GENERICO,AUROVITAS SPAIN S.A.U,LOSARTAN,4.17,SI,NO
VALSARTAN,GENERICO,NEURAXPHARM SPAIN S.L.U,VALSARTAN,8.15,NO,NO
VALSARTAN,GENERICO,NEURAXPHARM SPAIN S.L.U,VALSARTAN,16.3,NO,NO
DEXAMETASONA,GENERICO,KERN PHARMA S.L.,DEXAMETASONA,2.12,NO,NO
PREDNISONA,GENERICO,KERN PHARMA S.L.,PREDNISONA,3.76,SI,NO
FAMVIR,ORIGINAL,EUROMED PHARMA SPAIN S.L.,FAMCICLOVIR,131.01,NO,NO
OFTALMOLOSA,ORIGINAL,LABORATORIOS FIDIA FARMACEUTICA S.L.U,DEXAMETASONA,2.5,NO,NO
OFTALMOLOSA,ORIGINAL,OMNIVISION FARMA ESPANA S.L.U,CLORANFENICOL,2.5,NO,NO
COLIROFTA,ORIGINAL,ALCON HEALTHCARE S.A,TETRACAINA,3.39,NO,NO
COLIRCUSI,ORIGINAL,NTC OPHTHALMICS IBERICA S.L.,GENTAMICINA,4.26,NO,NO
BIOPLAK,ORIGINAL,LABORATORIOS ERN S.A.,ACETILSALICILICO,2.5,SI,NO
MESTINON,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,PIRIDOSTIGMINA,16.3,SI,NO
TOPIRAMATO,GENERICO,AUROVITAS SPAIN S.A.U,TOPIRAMATO,36.64,NO,NO
TOPIRAMATO,GENERICO,AUROVITAS SPAIN S.A.U,TOPIRAMATO,73.26,NO,NO
FOSINOPRIL,GENERICO,AUROVITAS SPAIN S.A.U,FOSINOPRIL,8.12,SI,NO
RISPERIDONA,GENERICO,AUROVITAS SPAIN S.A.U,RISPERIDONA,24.68,NO,NO
RISPERIDONA,GENERICO,AUROVITAS SPAIN S.A.U,RISPERIDONA,49.38,NO,NO
GYNEPLEN,ORIGINAL,EFFIK S.A.,CIPROTERONAETINILESTRADIOL,3.12,NO,NO
ULCOTENAL,ORIGINAL,TAKEDA FARMACEUTICA ESPANA S.A,PANTOPRAZOL,8.74,NO,NO
ULCOTENAL,ORIGINAL,TAKEDA FARMACEUTICA ESPANA S.A,PANTOPRAZOL,17.48,NO,NO
EPINITRIL,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,NITROGLICERINA,15.42,SI,NO
EPINITRIL,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,NITROGLICERINA,23.14,SI,NO
EPINITRIL,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,NITROGLICERINA,7.71,SI,NO
OLANZAPINA,GENERICO,COMBIX S.L.U,OLANZAPINA,52.89,NO,NO
OLANZAPINA,GENERICO,COMBIX S.L.U,OLANZAPINA,105.78,NO,NO
OLANZAPINA,GENERICO,COMBIX S.L.U,OLANZAPINA,26.44,NO,NO
RELISTOR,ORIGINAL,BAUSCH AND LOMB S.A,METILNALTREXONA,37.12,NO,NO
RELISTOR,ORIGINAL,BAUSCH AND LOMB S.A,METILNALTREXONA,220.9,NO,NO
AZARGA,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,TIMOLOL,15.67,NO,NO
LATANOPROST,ORIGINAL,TEVA PHARMA S.L.U,LATANOPROST,6.67,NO,NO
DUOPLAVIN,ORIGINAL,SANOFI AVENTIS S.A,ACETILSALICILICO,22.85,NO,NO
OLANZAPINA,GENERICO,MABO-FARMA S.A.,OLANZAPINA,52.89,NO,NO
OLANZAPINA,GENERICO,MABO-FARMA S.A.,OLANZAPINA,105.78,NO,NO
OLANZAPINA,GENERICO,MABO-FARMA S.A.,OLANZAPINA,26.44,NO,NO
STESOLID,ORIGINAL,FAES FARMA S.A.,DIAZEPAM,10.93,NO,NO
IRBESARTAN,GENERICO,TARBIS FARMA S.L.,IRBESARTAN,3.87,NO,NO
IRBESARTAN,GENERICO,TARBIS FARMA S.L.,IRBESARTAN,15.49,NO,NO
METAMIZOL,GENERICO,TEVA PHARMA S.L.U,METAMIZOL,1.56,NO,NO
METAMIZOL,GENERICO,TEVA PHARMA S.L.U,METAMIZOL,2.26,NO,NO
MICOFENOLATO,GENERICO,AUROVITAS SPAIN S.A.U,MICOFENOLATO,75.6,NO,NO
RISEDRONATO,GENERICO,KERN PHARMA S.L.,RISEDRONATO,19.84,NO,NO
PANTOPRAZOL,GENERICO,NEURAXPHARM SPAIN S.L.U,PANTOPRAZOL,17.48,NO,NO
ATROALDO,ORIGINAL,ALDO-UNION S.L.,IPRATROPIO,4.46,SI,NO
IRBESARTAN,GENERICO,TARBIS FARMA S.L.,IRBESARTAN,7.74,NO,NO
RISEDRONATO,GENERICO,ALTER S.A.,RISEDRONATO,19.84,NO,NO
REPAGLINIDA,GENERICO,NORMON S.A.,REPAGLINIDA,2.79,NO,NO
REPAGLINIDA,GENERICO,NORMON S.A.,REPAGLINIDA,5.59,NO,NO
REPAGLINIDA,GENERICO,NORMON S.A.,REPAGLINIDA,11.18,NO,NO
GABAPENTINA,GENERICO,TEVA PHARMA S.L.U,GABAPENTINA,3.08,SI,NO
LAMISIL,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,TERBINAFINA,16.17,NO,NO
METFORMINA,GENERICO,KERN PHARMA S.L.,METFORMINA,1.86,NO,NO
LAMISIL,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,TERBINAFINA,8.09,NO,NO
METFORMINA,GENERICO,KERN PHARMA S.L.,METFORMINA,2.5,NO,NO
AMLODIPINO,GENERICO,COMBIX S.L.U,AMLODIPINO,1.25,SI,NO
AMLODIPINO,GENERICO,COMBIX S.L.U,AMLODIPINO,2.5,SI,NO
PANTOPRAZOL,GENERICO,FARMALIDER S.A.,PANTOPRAZOL,8.74,NO,NO
CLOPIDOGREL,GENERICO,NORMON S.A.,CLOPIDOGREL,16.81,NO,NO
IRBESARTAN,GENERICO,ALTER S.A.,IRBESARTANHIDROCLOROTIAZIDA,9.65,NO,NO
IRBESARTAN,GENERICO,ALTER S.A.,HIDROCLOROTIAZIDAIRBESARTAN,19.29,NO,NO
LEVOCETIRIZINA,GENERICO,APOTEX ESPANA S.L,LEVOCETIRIZINA,5.9,NO,NO
LEVOCETIRIZINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,LEVOCETIRIZINA,5.9,NO,NO
CLOPIDOGREL,GENERICO,ALLENDA  PHARMA S.L.,CLOPIDOGREL,16.81,NO,NO
CLOPIDOGREL,GENERICO,FARMALIDER S.A.,CLOPIDOGREL,16.81,NO,NO
RABEPRAZOL,GENERICO,SANDOZ FARMACEUTICA S.A,RABEPRAZOL,12.19,NO,NO
TACNI,GENERICO,NORDIC PHARMA S.A.U.,TACROLIMUS,17.98,NO,NO
RABEPRAZOL,GENERICO,SANDOZ FARMACEUTICA S.A,RABEPRAZOL,24.37,NO,NO
FOSFOMICINA,GENERICO,NEURAXPHARM SPAIN S.L.U,FOSFOMICINA,2.5,NO,NO
FOSFOMICINA,GENERICO,NEURAXPHARM SPAIN S.L.U,FOSFOMICINA,4.73,NO,NO
CLOPIDOGREL,GENERICO,TARBIS FARMA S.L.,CLOPIDOGREL,16.81,NO,NO
RABEPRAZOL,GENERICO,CINFA S.A.,RABEPRAZOL,24.37,NO,NO
EXEMESTANO,GENERICO,ACCORD HEALTHCARE S.L.U,EXEMESTANO,96.66,NO,NO
PARACETAMOL,GENERICO,CINFA S.A.,PARACETAMOL,1.45,NO,NO
AZITROMICINA,GENERICO,AUROVITAS SPAIN S.A.U,AZITROMICINA,5.62,NO,NO
FENTANILO,GENERICO,NORMON S.A.,FENTANILO,43.88,NO,NO
FENTANILO,GENERICO,NORMON S.A.,FENTANILO,14.63,NO,NO
FENTANILO,GENERICO,NORMON S.A.,FENTANILO,29.25,NO,NO
FENTANILO,GENERICO,NORMON S.A.,FENTANILO,58.51,NO,NO
BETAHISTINA,GENERICO,NEURAXPHARM SPAIN S.L.U,BETAHISTINA,2.73,NO,NO
ANASTROZOL,GENERICO,TOWA PHARMACEUTICAL S.A.,ANASTROZOL,60.09,NO,NO
CLEXANE,ORIGINAL,SANOFI AVENTIS S.A,ENOXAPARINA,162.57,NO,NO
OLANZAPINA,GENERICO,COMBIX S.L.U,OLANZAPINA,79.33,NO,NO
DERMATRANS,ORIGINAL,CASEN RECORDATI S.L..,NITROGLICERINA,23.14,SI,NO
DERMATRANS,ORIGINAL,CASEN RECORDATI S.L..,NITROGLICERINA,15.42,SI,NO
DERMATRANS,ORIGINAL,CASEN RECORDATI S.L..,NITROGLICERINA,7.71,SI,NO
QUETIAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,QUETIAPINA,97.22,NO,NO
QUETIAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,QUETIAPINA,64.82,NO,NO
QUETIAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,QUETIAPINA,32.41,NO,NO
IBUPROFENO,GENERICO,MABO-FARMA S.A.,IBUPROFENO,1.97,NO,NO
RABEPRAZOL,GENERICO,KERN PHARMA S.L.,RABEPRAZOL,24.37,NO,NO
RABEPRAZOL,GENERICO,KERN PHARMA S.L.,RABEPRAZOL,12.19,NO,NO
VALSARTAN,GENERICO,STADA S.L,VALSARTAN,32.6,NO,NO
VALSARTAN,GENERICO,STADA S.L,VALSARTAN,2.5,NO,NO
VALSARTAN,GENERICO,STADA S.L,VALSARTAN,8.15,NO,NO
VALSARTAN,GENERICO,STADA S.L,VALSARTAN,16.3,NO,NO
QUETIAPINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,QUETIAPINA,8.1,NO,NO
PARACETAMOL/CODEINA,GENERICO,KERN PHARMA S.L.,CODEINAPARACETAMOL,2.34,NO,NO
BETAHISTINA,GENERICO,NORMON S.A.,BETAHISTINA,2.73,NO,NO
DOLOCATIL,GENERICO,FERRER INTERNACIONAL S.A.,PARACETAMOL,1.9,NO,NO
DOLOCATIL,GENERICO,FERRER INTERNACIONAL S.A.,PARACETAMOL,2.5,NO,NO
SYRON,ORIGINAL,MABO-FARMA S.A.,FERRIMANITOL,14.05,NO,NO
MONTELUKAST,GENERICO,AUROVITAS SPAIN S.A.U,MONTELUKAST,16.84,NO,NO
CLARITROMICINA,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,CLARITROMICINA,12.24,NO,NO
CLARITROMICINA,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,CLARITROMICINA,18.36,NO,NO
CLARITROMICINA,GENERICO,ALMUS FARMACEUTICA S.A.U.,CLARITROMICINA,12.24,NO,NO
CLARITROMICINA,GENERICO,ALMUS FARMACEUTICA S.A.U.,CLARITROMICINA,18.36,NO,NO
RISPERIDONA,GENERICO,ALTER S.A.,RISPERIDONA,24.67,NO,NO
RISPERIDONA,GENERICO,ALTER S.A.,RISPERIDONA,49.31,NO,NO
PENILEVEL,ORIGINAL,LABORATORIOS ERN S.A.,BENCILPENICILINA,2.93,NO,NO
RISPERIDONA,GENERICO,ALTER S.A.,RISPERIDONA,2.75,NO,NO
RISPERIDONA,GENERICO,ALTER S.A.,RISPERIDONA,8.23,NO,NO
AZITROMICINA,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,AZITROMICINA,5.62,NO,NO
AZITROMICINA,GENERICO,ALMUS FARMACEUTICA S.A.U.,AZITROMICINA,5.62,NO,NO
LEVOFLOXACINO,GENERICO,MABO-FARMA S.A.,LEVOFLOXACINO,13.11,NO,NO
QUETIAPINA,GENERICO,CINFA S.A.,QUETIAPINA,2.5,NO,NO
QUETIAPINA,GENERICO,CINFA S.A.,QUETIAPINA,32.41,NO,NO
QUETIAPINA,GENERICO,CINFA S.A.,QUETIAPINA,64.82,NO,NO
QUETIAPINA,GENERICO,CINFA S.A.,QUETIAPINA,97.22,NO,NO
BUDESONIDA,ORIGINAL,ALDO-UNION S.L.,BUDESONIDA,13.33,SI,NO
TOBRABACT,ORIGINAL,BAUSCH AND LOMB S.A,TOBRAMICINA,1.81,NO,NO
IMPROZOL,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,OMEPRAZOL,1.26,NO,NO
FOSFOMICINA,ORIGINAL,Q PHARMA S.L.,FOSFOMICINA,9.44,NO,NO
ESOMEPRAZOL,GENERICO,TEVA PHARMA S.L.U,ESOMEPRAZOL,6.28,NO,NO
ESOMEPRAZOL,GENERICO,TEVA PHARMA S.L.U,ESOMEPRAZOL,12.55,NO,NO
ESOMEPRAZOL,GENERICO,TEVA PHARMA S.L.U,ESOMEPRAZOL,25.1,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,SANDOZ FARMACEUTICA S.A,VALSARTANHIDROCLOROTIAZIDA,23.96,NO,NO
IBUPROFENO,GENERICO,ALMUS FARMACEUTICA S.A.U.,IBUPROFENO,1.97,NO,NO
MONTELUKAST,GENERICO,KERN PHARMA S.L.,MONTELUKAST,16.84,NO,NO
BRIMONIDINA,ORIGINAL,CINFA S.A.,BRIMONIDINA,7.31,NO,NO
MONTELUKAST,GENERICO,KERN PHARMA S.L.,MONTELUKAST,21.06,NO,NO
DERIPIL,ORIGINAL,REIG JOFRE S.A.,ERITROMICINA,3.75,NO,NO
ERIDOSIS,ORIGINAL,REIG JOFRE S.A.,ERITROMICINA,3.22,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,CINFA S.A.,VALSARTANHIDROCLOROTIAZIDA,11.99,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,CINFA S.A.,HIDROCLOROTIAZIDAVALSARTAN,11.99,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,CINFA S.A.,HIDROCLOROTIAZIDAVALSARTAN,5.99,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,TOWA PHARMACEUTICAL S.A.,HIDROCLOROTIAZIDAVALSARTAN,5.99,NO,NO
VALSARTAN/HIDROCLOROTIAZIDA,GENERICO,TOWA PHARMACEUTICAL S.A.,VALSARTANHIDROCLOROTIAZIDA,11.99,NO,NO
TACNI,GENERICO,NORDIC PHARMA S.A.U.,TACROLIMUS,35.97,NO,NO
TACNI,GENERICO,NORDIC PHARMA S.A.U.,TACROLIMUS,71.93,NO,NO
BILAXTEN,ORIGINAL,FAES FARMA S.A.,BILASTINA,6.99,NO,NO
