NOMBRE DEL PRODUCTO FARMACEUTICO,TIPO DE FARMACO,NOMBRE DEL LABORATORIO OFERTANTE,ESTADO,PRINCIPIO ACTIVO O ASOCIACION DE PRINCIPIOS ACTIVOS,PRECIO VENTA CON IVA_EUROS,TRATAMIENTO DE LARGA DURACION,MEDICAMENTO HUERFANO
CAOSINA,ORIGINAL,LABORATORIOS ERN S.A.,ALTA,CALCIO,2.5,NO,NO
ACECLOFENACO,GENERICO,KERN PHARMA S.L.,ALTA,ACECLOFENACO,2.83,NO,NO
ACECLOFENACO,GENERICO,KERN PHARMA S.L.,ALTA,ACECLOFENACO,5.65,NO,NO
MIRTAZAPINA,GENERICO,ZENTIVA KS,BAJA GENERAL,MIRTAZAPINA,8.52,NO,NO
MIRTAZAPINA,GENERICO,ZENTIVA KS,BAJA GENERAL,MIRTAZAPINA,17.05,NO,NO
GLUCOSA,GENERICO,TECSOLPAR S.A,ALTA,GLUCOSA,1.25,NO,NO
GLUCOSA,GENERICO,TECSOLPAR S.A,ALTA,GLUCOSA,1.56,NO,NO
GLUCOSA,GENERICO,TECSOLPAR S.A,ALTA,GLUCOSA,1.86,NO,NO
GLUCOSA,GENERICO,TECSOLPAR S.A,ALTA,GLUCOSA,2.19,NO,NO
GLUCOSA,GENERICO,TECSOLPAR S.A,ALTA,GLUCOSA,1.8,NO,NO
GLIMEPIRIDA,GENERICO,CINFA S.A.,ALTA,GLIMEPIRIDA,5.09,NO,NO
GLIMEPIRIDA,GENERICO,CINFA S.A.,ALTA,GLIMEPIRIDA,20.36,NO,NO
GLIMEPIRIDA,GENERICO,CINFA S.A.,ALTA,GLIMEPIRIDA,2.54,NO,NO
GLIMEPIRIDA,GENERICO,CINFA S.A.,ALTA,GLIMEPIRIDA,10.18,NO,NO
CITALOPRAM,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,CITALOPRAM,7.68,NO,NO
TILKER,ORIGINAL,SANOFI AVENTIS S.A,ALTA,DILTIAZEM,12.18,SI,NO
ACNEMIN,ORIGINAL,VINAS S.A.,ALTA,ISOTRETINOINA,17.09,NO,NO
BRONCORAL,ORIGINAL,CHIESI ESPANA S.A.U.,BAJA POR NO COMERCIALIZAR,FORMOTEROL,19.09,SI,NO
ACNEMIN,ORIGINAL,VINAS S.A.,ALTA,ISOTRETINOINA,34.19,NO,NO
ALPHAGAN,ORIGINAL,ABBVIE SPAIN S.L.U.,ALTA,BRIMONIDINA,7.31,NO,NO
OMEPRAZOL,GENERICO,ALMUS FARMACEUTICA S.A.U.,ALTA,OMEPRAZOL,1.26,NO,NO
OMEPRAZOL,GENERICO,ALMUS FARMACEUTICA S.A.U.,ALTA,OMEPRAZOL,2.42,NO,NO
OMEPRAZOL,GENERICO,ALMUS FARMACEUTICA S.A.U.,ALTA,OMEPRAZOL,4.15,NO,NO
GLIMEPIRIDA,GENERICO,NORMON S.A.,ALTA,GLIMEPIRIDA,10.18,NO,NO
GLIMEPIRIDA,GENERICO,NORMON S.A.,ALTA,GLIMEPIRIDA,2.54,NO,NO
GLIMEPIRIDA,GENERICO,NORMON S.A.,ALTA,GLIMEPIRIDA,20.36,NO,NO
GLIMEPIRIDA,GENERICO,NORMON S.A.,ALTA,GLIMEPIRIDA,5.09,NO,NO
AMLODIPINO,GENERICO,BLUEFISH PHARMA S.L.U,BAJA POR NO COMERCIALIZAR,AMLODIPINO,1.25,SI,NO
VENLAFAXINA,GENERICO,BLUEFISH PHARMA S.L.U,BAJA POR NO COMERCIALIZAR,VENLAFAXINA,19.15,NO,NO
MEDEBIOTIN,ORIGINAL,REIG JOFRE S.A.,ALTA,BIOTINA,3.78,NO,NO
VENLAFAXINA,GENERICO,NORMON S.A.,ALTA,VENLAFAXINA,9.59,NO,NO
VENLAFAXINA,GENERICO,NORMON S.A.,ALTA,VENLAFAXINA,6.38,NO,NO
BICALUTAMIDA,GENERICO,BLUEFISH PHARMA S.L.U,BAJA POR NO COMERCIALIZAR,BICALUTAMIDA,42.37,NO,NO
VENLAFAXINA,GENERICO,NORMON S.A.,ALTA,VENLAFAXINA,19.15,NO,NO
CITALOPRAM,GENERICO,FARMAPROJECTS S.A.,ALTA,CITALOPRAM,7.68,NO,NO
CARVEDILOL,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,ALTA,CARVEDILOL,2.5,SI,NO
CITALOPRAM,GENERICO,FARMAPROJECTS S.A.,ALTA,CITALOPRAM,5.12,NO,NO
CARVEDILOL,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,ALTA,CARVEDILOL,6.04,SI,NO
SANDIMMUN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,ALTA,CICLOSPORINA,13.11,NO,NO
SANDIMMUN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,ALTA,CICLOSPORINA,26.23,NO,NO
SANDIMMUN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,ALTA,CICLOSPORINA,52.45,NO,NO
BISOPROLOL,GENERICO,TEVA PHARMA S.L.U,ALTA,BISOPROLOL,6.56,SI,NO
BROMURO,ORIGINAL,ALDO-UNION S.L.,ALTA,IPRATROPIO,5.59,NO,NO
SANDIMMUN,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,ALTA,CICLOSPORINA,87.42,NO,NO
VIVACE,ORIGINAL,CHIESI ESPANA S.A.U.,BAJA GENERAL,DELAPRIL,21.07,NO,NO
BIMADE,ORIGINAL,BOIZOT S.L.,BAJA GENERAL,DELAPRIL,21.07,NO,NO
ISOACNE,ORIGINAL,PIERRE FABRE IBERICA S.A.,ALTA,ISOTRETINOINA,17.09,NO,NO
ISOACNE,ORIGINAL,PIERRE FABRE IBERICA S.A.,ALTA,ISOTRETINOINA,34.19,NO,NO
LANSOPRAZOL,GENERICO,NEURAXPHARM SPAIN S.L.U,ALTA,LANSOPRAZOL,7.96,NO,NO
LANSOPRAZOL,GENERICO,NEURAXPHARM SPAIN S.L.U,ALTA,LANSOPRAZOL,15.92,NO,NO
CITALOPRAM,GENERICO,TEVA PHARMA S.L.U,ALTA,CITALOPRAM,7.68,NO,NO
CITALOPRAM,GENERICO,TEVA PHARMA S.L.U,ALTA,CITALOPRAM,15.36,NO,NO
ZUANTRIP,GENERICO,GP-PHARMS.A,ALTA,TAMSULOSINA,10.96,NO,NO
ALFUZOSINA,GENERICO,ZENTIVA KS,BAJA GENERAL,ALFUZOSINA,5.9,NO,NO
ALFUZOSINA,GENERICO,ZENTIVA KS,BAJA GENERAL,ALFUZOSINA,8.85,NO,NO
DOLPAR,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,BAJA GENERAL,TRAMADOL,6.21,NO,NO
DOLPAR,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,BAJA GENERAL,TRAMADOL,12.41,NO,NO
DOLPAR,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,BAJA GENERAL,TRAMADOL,18.62,NO,NO
SIMVASTATINA,GENERICO,MABO-FARMA S.A.,ALTA,SIMVASTATINA,0.95,SI,NO
EBASTINA,GENERICO,ALTER S.A.,ALTA,EBASTINA,4.4,NO,NO
SIMVASTATINA,GENERICO,MABO-FARMA S.A.,ALTA,SIMVASTATINA,1.58,SI,NO
EBASTINA,GENERICO,ALTER S.A.,ALTA,EBASTINA,8.79,NO,NO
MALARONE,ORIGINAL,GLAXOSMITHKLINE S.A.,ALTA,ATOVACUONAPROGUANIL,19.84,NO,NO
SIMVASTATINA,GENERICO,MABO-FARMA S.A.,ALTA,SIMVASTATINA,2.17,SI,NO
RISPERIDONA,GENERICO,FARMALIDER S.A.,ALTA,RISPERIDONA,24.67,NO,NO
RISPERIDONA,GENERICO,FARMALIDER S.A.,ALTA,RISPERIDONA,8.23,NO,NO
ENALAPRIL/HIDROCLOROTIAZIDA,GENERICO,ABABOR PHARMACEUTICALS S.L.,ALTA,ENALAPRIL,1.84,NO,NO
RISPERIDONA,GENERICO,SANOFI AVENTIS S.A,ALTA,RISPERIDONA,2.75,NO,NO
BILINA,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,ALTA,LEVOCABASTINA,12.4,NO,NO
NEUPRO,ORIGINAL,UCB PHARMA S.A.,ALTA,ROTIGOTINA,65.74,NO,NO
NEUPRO,ORIGINAL,UCB PHARMA S.A.,ALTA,ROTIGOTINA,105.19,NO,NO
NEUPRO,ORIGINAL,UCB PHARMA S.A.,ALTA,ROTIGOTINA,136.74,NO,NO
NEUPRO,ORIGINAL,UCB PHARMA S.A.,ALTA,ROTIGOTINA,159.86,NO,NO
LOSARTAN,GENERICO,ABABOR PHARMACEUTICALS S.L.,ALTA,LOSARTAN,5.84,NO,NO
ALFUZOSINA,GENERICO,STADA S.L,BAJA GENERAL,ALFUZOSINA,11.8,NO,NO
LOSARTAN,GENERICO,ABABOR PHARMACEUTICALS S.L.,ALTA,LOSARTAN,2.92,NO,NO
ALFUZOSINA,GENERICO,STADA S.L,ALTA,ALFUZOSINA,11.8,NO,NO
EBASTINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,EBASTINA,4.4,NO,NO
EBASTINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,EBASTINA,8.79,NO,NO
SIMVASTATINA,GENERICO,SUMOL PHARMA S.A,BAJA GENERAL,SIMVASTATINA,0.95,SI,NO
ACCUSOL,ORIGINAL,PALEX MEDICAL S.A.,ALTA,CALCIO,26.21,NO,NO
ACCUSOL,ORIGINAL,PALEX MEDICAL S.A.,ALTA,SODIO,26.21,NO,NO
SIMVASTATINA,GENERICO,SUMOL PHARMA S.A,BAJA GENERAL,SIMVASTATINA,1.58,SI,NO
EBASTINA,GENERICO,RATIOPHARM ESPANA S.A.,BAJA POR NO COMERCIALIZAR,EBASTINA,8.79,NO,NO
EBASTINA,GENERICO,RATIOPHARM ESPANA S.A.,BAJA POR NO COMERCIALIZAR,EBASTINA,4.4,NO,NO
RISPERIDONA,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,RISPERIDONA,8.23,NO,NO
RISPERIDONA,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,RISPERIDONA,24.67,NO,NO
RISPERIDONA,GENERICO,AUROVITAS SPAIN S.A.U,BAJA POR NO COMERCIALIZAR,RISPERIDONA,8.23,NO,NO
RISPERIDONA,GENERICO,AUROVITAS SPAIN S.A.U,BAJA POR NO COMERCIALIZAR,RISPERIDONA,24.67,NO,NO
RISPERIDONA,GENERICO,AUROVITAS SPAIN S.A.U,BAJA POR NO COMERCIALIZAR,RISPERIDONA,2.75,NO,NO
SIMVASTATINA,GENERICO,SUMOL PHARMA S.A,BAJA GENERAL,SIMVASTATINA,2.17,SI,NO
RISPERIDONA,GENERICO,AUROVITAS SPAIN S.A.U,BAJA POR NO COMERCIALIZAR,RISPERIDONA,49.31,NO,NO
ALFUZOSINA,GENERICO,BEXAL FARMACEUTICA S.A.,BAJA GENERAL,ALFUZOSINA,11.8,NO,NO
ZANTAC,ORIGINAL,GLAXOSMITHKLINE S.A.,BAJA GENERAL,RANITIDINA,7.77,NO,NO
ZANTAC,ORIGINAL,GLAXOSMITHKLINE S.A.,BAJA GENERAL,RANITIDINA,3.89,NO,NO
CLARITROMICINA,GENERICO,CINFA S.A.,ALTA,CLARITROMICINA,12.24,NO,NO
CLARITROMICINA,GENERICO,CINFA S.A.,ALTA,CLARITROMICINA,18.36,NO,NO
CETIRIZINA,GENERICO,ARISTO PHARMA IBERIA S.L.,ALTA,CETIRIZINA,3.12,NO,NO
PARAPRES,ORIGINAL,ALMIRALL S.A.,ALTA,CANDESARTAN,2.5,NO,NO
AMISULPRIDA,GENERICO,TARBIS FARMA S.L.,ALTA,AMISULPRIDA,39.87,NO,NO
PARAPRES,ORIGINAL,ALMIRALL S.A.,ALTA,CANDESARTAN,5.25,NO,NO
PARAPRES,ORIGINAL,ALMIRALL S.A.,ALTA,CANDESARTAN,10.49,NO,NO
UBTEST,ORIGINAL,FERRER FARMA S.A.,ALTA,13-C,30.46,NO,NO
PARAPRES,ORIGINAL,ALMIRALL S.A.,ALTA,CANDESARTAN,20.97,NO,NO
EBASTINA,GENERICO,KERN PHARMA S.L.,ALTA,EBASTINA,4.4,NO,NO
EBASTINA,GENERICO,KERN PHARMA S.L.,ALTA,EBASTINA,8.79,NO,NO
AMISULPRIDA,GENERICO,ZENTIVA KS,BAJA GENERAL,AMISULPRIDA,39.87,NO,NO
AMISULPRIDA,GENERICO,ZENTIVA KS,BAJA GENERAL,AMISULPRIDA,19.94,NO,NO
PARAPRES,ORIGINAL,ALMIRALL S.A.,ALTA,CANDESARTAN,10.46,NO,NO
TEPOX-CAL,ORIGINAL,STADA S.L,BAJA GENERAL,PIDOLATO,12.79,NO,NO
EBASTINA,GENERICO,TARBIS FARMA S.L.,ALTA,EBASTINA,4.4,NO,NO
EBASTINA,GENERICO,TARBIS FARMA S.L.,ALTA,EBASTINA,8.79,NO,NO
MIRTAZAPINA,GENERICO,TEVA PHARMA S.L.U,BAJA GENERAL,MIRTAZAPINA,8.52,NO,NO
MIRTAZAPINA,GENERICO,TEVA PHARMA S.L.U,BAJA GENERAL,MIRTAZAPINA,17.05,NO,NO
GLIMEPIRIDA,GENERICO,KERN PHARMA S.L.,ALTA,GLIMEPIRIDA,10.18,NO,NO
GLIMEPIRIDA,GENERICO,KERN PHARMA S.L.,ALTA,GLIMEPIRIDA,20.36,NO,NO
OLMETEC,ORIGINAL,DAIICHI SANKYO ESPANA S.A.,ALTA,HIDROCLOROTIAZIDAOLMESARTAN,10.1,NO,NO
EBASTINA,GENERICO,CINFA S.A.,ALTA,EBASTINA,4.4,NO,NO
EBASTINA,GENERICO,CINFA S.A.,ALTA,EBASTINA,8.79,NO,NO
COLCHICINA,ORIGINAL,SEID S.A.,ALTA,COLCHICINA,3.29,NO,NO
DAKTARIN,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,ALTA,MICONAZOL,3.25,NO,NO
OPENVAS,ORIGINAL,DAIICHI SANKYO ESPANA S.A.,ALTA,HIDROCLOROTIAZIDAOLMESARTAN,10.1,NO,NO
OPENVAS,ORIGINAL,DAIICHI SANKYO ESPANA S.A.,ALTA,OLMESARTAN,10.1,NO,NO
BICANOVA,ORIGINAL,FRESENIUS MEDICAL CARE ESPANA S.A.,BAJA GENERAL,SODIO,47.21,NO,NO
VENTOLIN,ORIGINAL,GLAXOSMITHKLINE S.A.,ALTA,SALBUTAMOL,2.19,NO,NO
BICANOVA,ORIGINAL,FRESENIUS MEDICAL CARE ESPANA S.A.,BAJA GENERAL,CALCIO,47.21,NO,NO
DISTRANEURINE,ORIGINAL,RUBIO S.A.,ALTA,CLOMETIAZOL,7.02,NO,NO
PRAVASTATINA,GENERICO,MABO-FARMA S.A.,ALTA,PRAVASTATINA,4.07,SI,NO
PRAVASTATINA,GENERICO,MABO-FARMA S.A.,ALTA,PRAVASTATINA,8.15,SI,NO
PRAVASTATINA,GENERICO,MABO-FARMA S.A.,ALTA,PRAVASTATINA,16.3,SI,NO
PRAVASTATINA,GENERICO,NORMON S.A.,ALTA,PRAVASTATINA,8.15,SI,NO
PRAVASTATINA,GENERICO,NORMON S.A.,ALTA,PRAVASTATINA,16.3,SI,NO
PRAVASTATINA,GENERICO,NORMON S.A.,ALTA,PRAVASTATINA,4.07,SI,NO
SINTROM,ORIGINAL,NORGINE DE ESPANA S.L.U,ALTA,ACENOCUMAROL,1.89,SI,NO
AMOXICILINA,GENERICO,SUN PHARMA LABORATORIOS S.L,BAJA GENERAL,AMOXICILINA,2.29,NO,NO
SINTROM,ORIGINAL,NORGINE DE ESPANA S.L.U,ALTA,ACENOCUMAROL,3.45,SI,NO
ALCOSIN,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,SIMVASTATINA,1.58,SI,NO
ALCOSIN,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,SIMVASTATINA,2.17,SI,NO
ALCOSIN,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,SIMVASTATINA,0.95,SI,NO
PRAVASTATINA,GENERICO,ARISTO PHARMA IBERIA S.L.,BAJA POR NO COMERCIALIZAR,PRAVASTATINA,16.3,SI,NO
PRAVASTATINA,GENERICO,ARISTO PHARMA IBERIA S.L.,BAJA POR NO COMERCIALIZAR,PRAVASTATINA,8.15,SI,NO
RANITIDINA,ORIGINAL,NEURAXPHARM SPAIN S.L.U,BAJA GENERAL,RANITIDINA,7.77,NO,NO
ADRENALINA,ORIGINAL,LABORATORIOS ERN S.A.,ALTA,EPINEFRINA,4.48,NO,NO
MINUSCOL,ORIGINAL,TEVA PHARMA S.L.U,BAJA POR NO COMERCIALIZAR,PRAVASTATINA,8.15,SI,NO
RANITIDINA,ORIGINAL,NEURAXPHARM SPAIN S.L.U,BAJA GENERAL,RANITIDINA,3.89,NO,NO
MINUSCOL,ORIGINAL,TEVA PHARMA S.L.U,BAJA GENERAL,PRAVASTATINA,16.3,SI,NO
MINUSCOL,ORIGINAL,TEVA PHARMA S.L.U,BAJA GENERAL,PRAVASTATINA,4.07,SI,NO
LOSARTAN,GENERICO,STADA S.L,ALTA,LOSARTAN,4.17,SI,NO
LOSARTAN,GENERICO,STADA S.L,ALTA,LOSARTAN,8.34,SI,NO
EBASTINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,EBASTINA,8.79,NO,NO
EBASTINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,EBASTINA,4.4,NO,NO
TERBINAFINA,GENERICO,ALTER S.A.,ALTA,TERBINAFINA,16.17,NO,NO
ALDOMET,ORIGINAL,EUROMED PHARMA SPAIN S.L.,ALTA,METILDOPA,5.54,SI,NO
ALDOMET,ORIGINAL,EUROMED PHARMA SPAIN S.L.,ALTA,METILDOPA,5.14,SI,NO
LOSARTAN,GENERICO,CINFA S.A.,ALTA,LOSARTAN,4.17,SI,NO
LOSARTAN,GENERICO,CINFA S.A.,ALTA,LOSARTAN,8.34,SI,NO
SOLUVASS,GENERICO,ARAFARMA GROUP S.A,BAJA GENERAL,LOSARTAN,4.17,SI,NO
GLIMEPIRIDA,GENERICO,COMBIX S.L.U,BAJA POR NO COMERCIALIZAR,GLIMEPIRIDA,10.18,NO,NO
LOSARTAN,GENERICO,CINFA S.A.,ALTA,LOSARTAN,1.97,NO,NO
OPIREN,ORIGINAL,TAKEDA FARMACEUTICA ESPANA S.A,ALTA,LANSOPRAZOL,15.92,NO,NO
DALACIN,ORIGINAL,PFIZER S.L,ALTA,CLINDAMICINA,3.29,NO,NO
IXIA,ORIGINAL,MENARINIS.A.,ALTA,HIDROCLOROTIAZIDAOLMESARTAN,10.1,NO,NO
PRO-ULCO,ORIGINAL,VIATRIS PHARMACEUTICALS S.L.U,ALTA,LANSOPRAZOL,15.92,NO,NO
DALACIN,ORIGINAL,PFIZER S.L,ALTA,CLINDAMICINA,6.57,NO,NO
HUMATIN,ORIGINAL,PARKE DAVIS S.L.,BAJA GENERAL,PAROMOMICINA,2.7,NO,NO
ALFUZOSINA,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,ALFUZOSINA,11.8,NO,NO
CITALOPRAM,ORIGINAL,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,CITALOPRAM,2.56,NO,NO
CITALOPRAM,GENERICO,COMBIX S.L.U,ALTA,CITALOPRAM,5.12,NO,NO
LOSARTAN,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,LOSARTAN,4.17,SI,NO
LOSARTAN,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,LOSARTAN,8.34,SI,NO
LOSARTAN,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,LOSARTAN,1.97,NO,NO
RIBUJET,ORIGINAL,CHIESI ESPANA S.A.U.,ALTA,BUDESONIDA,22.35,SI,NO
DAKTARIN,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,BAJA GENERAL,MICONAZOL,3.0,NO,NO
ENALAPRIL/HIDROCLOROTIAZ,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,ENALAPRIL,1.84,NO,NO
SENIORAL,ORIGINAL,LABORATORIOS ERN S.A.,ALTA,CLOCINIZINA,3.15,NO,NO
MASTICAL,ORIGINAL,RUBIO S.A.,ALTA,CALCIO,7.21,NO,NO
FLUSPORAN,ORIGINAL,MENARINIS.A.,BAJA GENERAL,FLUTRIMAZOL,13.5,NO,NO
CITALOPRAM,GENERICO,CINFA S.A.,ALTA,CITALOPRAM,2.56,NO,NO
CITALOPRAM,GENERICO,CINFA S.A.,ALTA,CITALOPRAM,5.12,NO,NO
CITALOPRAM,GENERICO,CINFA S.A.,ALTA,CITALOPRAM,10.24,NO,NO
CITALOPRAM,GENERICO,CINFA S.A.,ALTA,CITALOPRAM,7.68,NO,NO
JOSAMINA,ORIGINAL,FERRER INTERNACIONAL S.A.,BAJA GENERAL,JOSAMICINA,10.27,NO,NO
DUOTRAV,ORIGINAL,NOVARTIS FARMACEUTICA S.A.,ALTA,TIMOLOL,7.84,NO,NO
EBASTINA,GENERICO,TEVA PHARMA S.L.U,ALTA,EBASTINA,4.4,NO,NO
EBASTINA,GENERICO,TEVA PHARMA S.L.U,ALTA,EBASTINA,8.79,NO,NO
JOSAMINA,ORIGINAL,FERRER INTERNACIONAL S.A.,BAJA GENERAL,JOSAMICINA,17.69,NO,NO
GENOXAL,ORIGINAL,BAXTER S.L.,ALTA,CICLOFOSFAMIDA,6.7,NO,NO
CARVEDILOL,GENERICO,ZENTIVA KS,BAJA GENERAL,CARVEDILOL,2.5,SI,NO
CARVEDILOL,GENERICO,ZENTIVA KS,BAJA GENERAL,CARVEDILOL,6.04,SI,NO
FINASTERIDA,GENERICO,MABO-FARMA S.A.,ALTA,FINASTERIDA,9.1,NO,NO
ALMOGRAN,ORIGINAL,GERVASI FARMACIA S.L.,ALTA,ALMOTRIPTAN,29.3,NO,NO
FLUTICASONA,ORIGINAL,TEVA PHARMA S.L.U,ALTA,FLUTICASONA,11.18,NO,NO
ALFUZOSINA,GENERICO,TEVA PHARMA S.L.U,ALTA,ALFUZOSINA,11.8,NO,NO
FINASTERIDA,GENERICO,CINFA S.A.,ALTA,FINASTERIDA,9.1,NO,NO
ALFUZOSINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,ALFUZOSINA,11.8,NO,NO
CETIRIZINA,GENERICO,NORMON S.A.,ALTA,CETIRIZINA,3.12,NO,NO
PLAVIX,ORIGINAL,SANOFI AVENTIS S.A,ALTA,CLOPIDOGREL,16.81,NO,NO
FINASTERIDA,GENERICO,ALTER S.A.,ALTA,FINASTERIDA,9.1,NO,NO
CLOPIDOGREL,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,BAJA GENERAL,CLOPIDOGREL,30.02,NO,NO
GANFORT,ORIGINAL,ABBVIE SPAIN S.L.U.,ALTA,TIMOLOL,9.41,NO,NO
BRITAPEN,ORIGINAL,REIG JOFRE S.A.,ALTA,AMPICILINA,3.82,NO,NO
BRITAPEN,ORIGINAL,REIG JOFRE S.A.,ALTA,AMPICILINA,3.36,NO,NO
BRITAPEN,ORIGINAL,REIG JOFRE S.A.,ALTA,AMPICILINA,2.97,NO,NO
MEDEBIOTIN,ORIGINAL,REIG JOFRE S.A.,ALTA,BIOTINA,6.98,NO,NO
RAMIPRIL,GENERICO,ARISTO PHARMA IBERIA S.L.,ALTA,RAMIPRIL,4.84,SI,NO
RAMIPRIL,GENERICO,ARISTO PHARMA IBERIA S.L.,BAJA GENERAL,RAMIPRIL,2.5,SI,NO
DAPAROX,ORIGINAL,ANGELINI PHARMA ESPANAS.L,ALTA,PAROXETINA,6.09,NO,NO
DAPAROX,ORIGINAL,ANGELINI PHARMA ESPANAS.L,ALTA,PAROXETINA,12.18,NO,NO
CARVEDILOL,GENERICO,ALTER S.A.,ALTA,CARVEDILOL,6.04,SI,NO
CLARITROMICINA,GENERICO,ARAFARMA GROUP S.A,BAJA GENERAL,CLARITROMICINA,12.24,NO,NO
ZOMIG,ORIGINAL,GERVASI FARMACIA S.L.,ALTA,ZOLMITRIPTAN,16.08,NO,NO
DAKTARIN,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,BAJA GENERAL,MICONAZOL,2.5,NO,NO
CLARITROMICINA,GENERICO,ARAFARMA GROUP S.A,BAJA GENERAL,CLARITROMICINA,18.36,NO,NO
LORATADINA,GENERICO,SUN PHARMA LABORATORIOS S.L,ALTA,LORATADINA,3.11,NO,NO
TERPOSEN,ORIGINAL,ABABOR PHARMACEUTICALS S.L.,BAJA GENERAL,RANITIDINA,7.77,NO,NO
IBUPROFENO,GENERICO,TEVA PHARMA S.L.U,ALTA,IBUPROFENO,2.06,NO,NO
SEBRANE,GENERICO,BIOWISE PHARMACEUTICALS S.L,ALTA,TAMSULOSINA,10.96,NO,NO
ALEUDRINA,ORIGINAL,REIG JOFRE S.A.,BAJA GENERAL,ISOPRENALINA,5.9,NO,NO
ELIXIFILIN,ORIGINAL,TORA LABORATORIES S.L.,ALTA,TEOFILINA,2.5,SI,NO
TERPOSEN,ORIGINAL,ABABOR PHARMACEUTICALS S.L.,BAJA GENERAL,RANITIDINA,3.89,NO,NO
DOLOTREN,ORIGINAL,FAES FARMA S.A.,ALTA,DICLOFENACO,2.59,NO,NO
LOSARTAN,GENERICO,NORMON S.A.,ALTA,LOSARTAN,1.97,NO,NO
LOSARTAN,GENERICO,NORMON S.A.,ALTA,LOSARTAN,2.5,SI,NO
LOSARTAN,GENERICO,NORMON S.A.,ALTA,LOSARTAN,4.17,SI,NO
LOSARTAN,GENERICO,NORMON S.A.,ALTA,LOSARTAN,8.34,SI,NO
IBUPROFENO,GENERICO,KERN PHARMA S.L.,ALTA,IBUPROFENO,2.5,NO,NO
ADARTREL,ORIGINAL,GLAXOSMITHKLINE S.A.,ALTA,ROPINIROL,2.5,NO,NO
ADARTREL,ORIGINAL,GLAXOSMITHKLINE S.A.,ALTA,ROPINIROL,6.74,NO,NO
ADARTREL,ORIGINAL,GLAXOSMITHKLINE S.A.,ALTA,ROPINIROL,8.99,NO,NO
CIFLOT,ORIGINAL,SALVAT S.A.,ALTA,CIPROFLOXACINO,6.01,NO,NO
CETRAXAL,ORIGINAL,SALVAT S.A.,ALTA,CIPROFLOXACINO,6.01,NO,NO
FLUCONAZOL,GENERICO,CINFA S.A.,ALTA,FLUCONAZOL,30.0,NO,NO
FLUCONAZOL,GENERICO,CINFA S.A.,ALTA,FLUCONAZOL,7.51,NO,NO
FLUCONAZOL,GENERICO,CINFA S.A.,ALTA,FLUCONAZOL,3.22,NO,NO
VARIDASA,ORIGINAL,IND. FTCA. CANTABRIA S.A.,ALTA,ESTREPTOQUINASAESTREPTODORNASA,5.0,NO,NO
TERRAMICINA,ORIGINAL,FARMASIERRA LABORATORIOS S.L.,BAJA GENERAL,OXITETRACICLINA,2.65,NO,NO
FLUCONAZOL,GENERICO,CINFA S.A.,ALTA,FLUCONAZOL,12.86,NO,NO
FLUCONAZOL,GENERICO,CINFA S.A.,ALTA,FLUCONAZOL,15.0,NO,NO
IBUPROFENO,GENERICO,CINFA S.A.,ALTA,IBUPROFENO,2.5,NO,NO
PRAVASTATINA,GENERICO,INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR S.A.,ALTA,PRAVASTATINA,4.07,SI,NO
