VISUAL_ID,PPV_OPERATION,PPV_LOT,PPV_TEST_PROGRAM,PPV_IB,PPV_FB,PPV_DATA_BIN,PPV_MODULE
D36746RF00079,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00112,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00041,8748,J316005ELT,GNRSDEPAE2313I,71,7124,71240019,CR03SHST4938
D36746RF00072,8748,J316005ELT,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D36746RF00087,8748,J316005ELT,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3GH832500518,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00145,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00166,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500644,8748,J316005ELT,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3GH832500001,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500643,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00078,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500503,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00148,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500606,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500551,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500614,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00141,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500536,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00159,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00101,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500534,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00153,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00160,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500642,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00091,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500549,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500608,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00152,8748,J316006ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400061,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700062,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D30Y9W4100107,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400036,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400056,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700120,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400184,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700097,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D30Y9W4100004,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700119,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D30Y9W4100130,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700150,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D30Y9W4100026,8748,J316016DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400055,8748,J316016DPM,GNRSDEPAE2313I,71,7118,71180100,CR03SHST4938
D3MX382400270,8748,J316016DPM,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3D7F82700007,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700037,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700145,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700063,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3D7F82700083,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400067,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400281,8748,J316014DPM,GNRSDEPAE2313I,80,8090,80901224,CR03SHST4938
D3D7F82700096,8748,J316014DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400296,8748,J316014DPM,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3MX382400069,8748,J316014DPM,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3MX382400305,8748,J316014DPM,GNRSDEPAE2313I,81,8118,81180019,CR03SHST4938
D31K8R3400242,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400285,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400038,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400184,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400292,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00043,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400027,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00130,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500620,8748,J3160310,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400021,8748,J317007DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D30Y9W4100088,8748,J317007DPM,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D34G8C5500056,8748,J317007DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400295,8748,J317007DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D34G8C5500068,8748,J317007DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D30Y9W4100051,8748,J317007DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D30Y9W4100108,8748,J317007DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D34G8C5500131,8748,J317006DPM,GNRSDEPAE2313I,71,7118,71180100,CR03SHST4938
D3LR533200007,8748,J317006DPM,GNRSDEPAE2313I,80,8090,80901246,CR03SHST4938
D3LR533200004,8748,J317006DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3LR533200045,8748,J317006DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D34G8C5500020,8748,J317006DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400288,8748,J3170530,GNRSDEPAE2313I,1,100,1000000,CR03SHST4906
D30Y9W4100030,8748,J317006DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D34G8C5500129,8748,J317006DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500562,8748,J3170530,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4906
D3LR533200029,8748,J317006DPM,GNRSDEPAE2313I,81,8118,81180019,CR03SHST4938
D34G8C5500006,8748,J317006DPM,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3LR533200043,8748,J317006DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3LR533200136,8748,J317006DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3LR533200047,8748,J317006DPM,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
