ATC,Descripción Principio Activo,Forma Farmacéutica,Nombre Genérico,detalles del producto,Presentación,Tamaño de Caja o presentación,Fabricante,Precio máximo de venta transacción final comercial
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 28,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 56,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 10,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 20,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 30,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 100,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 14,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 28,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 56,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 10,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 20,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 30,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,CARDIOCAP,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 100,LEGRAND,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,RENANGIO PLUS,Hidroclorotiazida 25mg/1U  + Telmisartán 80mg/1U,Sólido,Oral x 14,MSN LABORATORIES PRIVATE,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,RENANGIO PLUS,Hidroclorotiazida 25mg/1U  + Telmisartán 80mg/1U,Sólido,Oral x 28,MSN LABORATORIES PRIVATE,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,RENANGIO PLUS,Hidroclorotiazida 25mg/1U  + Telmisartán 80mg/1U,Sólido,Oral x 10,MSN LABORATORIES PRIVATE,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,RENANGIO PLUS,Hidroclorotiazida 25mg/1U  + Telmisartán 80mg/1U,Sólido,Oral x 30,MSN LABORATORIES PRIVATE,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,RENANGIO PLUS,Hidroclorotiazida 25mg/1U  + Telmisartán 80mg/1U,Sólido,Oral x 10,MSN LABORATORIES PRIVATE,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,RENANGIO PLUS,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 14,MSN LABORATORIES PRIVATE,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,RENANGIO PLUS,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 28,MSN LABORATORIES PRIVATE,No regulado
C09DA07,Telmisartán + Hidroclorotiazida,Sólido - Oral,RENANGIO PLUS,"Hidroclorotiazida 12,5mg/1U  + Telmisartán 80mg/1U",Sólido,Oral x 10,MSN LABORATORIES PRIVATE,No regulado
H01BA04,Terlipresina,Líquido/Sólido - Inyectable,GLYPRESSIN,"Terlipresina 0,86mg/1U",Líquido/Sólido,Inyectable x 1,FERRING,No regulado
H01BA04,Terlipresina,Líquido/Sólido - Inyectable,HAEMOPRESSIN,"Terlipresina 0,85mg/5ml (0,17mg/1ml)",Líquido/Sólido,Inyectable x 1,ZONEPHARMA,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 28,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 7,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 14,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 28,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 28,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 20,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 10,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 4,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 30,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 2,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 20,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 64,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 10,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 4,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 30,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 2,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 30,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 2,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 2,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 4,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 4,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 20,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 3,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 64,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 10,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 20,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 30,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 10,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 7,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 64,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 10,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 14,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 20,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 30,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 2,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 4,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 7,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 7,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 64,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 14,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 10,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 20,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 30,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 2,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 80mg/1U,Sólido,Oral x 4,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 7,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 14,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 28,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 7,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 14,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 28,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 7,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 14,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,EXFORGE,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 28,NOVARTIS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 64,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 5mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 32,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 60,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 28,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 64,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,VARTERAL,Amlodipino 10mg/1U  + Valsartan 320mg/1U,Sólido,Oral x 32,PROCAPS,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 30,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 10,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 7,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 100,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 14,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 28,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Amlodipino 5mg/1U  + Valsartan 160mg/1U,Sólido,Oral x 30,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 7,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 7,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 10,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 14,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 28,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 30,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 100,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 10,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 14,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 28,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 80mg/1U  + Amlodipino 5mg/1U,Sólido,Oral x 30,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 7,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 7,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 10,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 14,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 30,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 100,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 100,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 10,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 14,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 28,LEGRAND,No regulado
C09DB01,Valsartan + Amlodipino,Sólido - Oral,CARDIK A,Valsartan 160mg/1U  + Amlodipino 10mg/1U,Sólido,Oral x 30,LEGRAND,No regulado
C09DX01,Valsartan + Amlodipino + Hidroclorotiazida,Sólido - Oral,EXFORGE,"Amlodipino 10mg/1U  + Hidroclorotiazida 12,5mg/1U  + Valsartan 160mg/1U",Sólido,Oral x 7,NOVARTIS,No regulado
C09DX01,Valsartan + Amlodipino + Hidroclorotiazida,Sólido - Oral,EXFORGE,"Amlodipino 10mg/1U  + Hidroclorotiazida 12,5mg/1U  + Valsartan 160mg/1U",Sólido,Oral x 14,NOVARTIS,No regulado
C09DX01,Valsartan + Amlodipino + Hidroclorotiazida,Sólido - Oral,EXFORGE,"Amlodipino 10mg/1U  + Hidroclorotiazida 12,5mg/1U  + Valsartan 160mg/1U",Sólido,Oral x 28,NOVARTIS,No regulado
C09DX01,Valsartan + Amlodipino + Hidroclorotiazida,Sólido - Oral,EXFORGE,"Amlodipino 10mg/1U  + Hidroclorotiazida 12,5mg/1U  + Valsartan 160mg/1U",Sólido,Oral x 7,NOVARTIS,No regulado
C09DX01,Valsartan + Amlodipino + Hidroclorotiazida,Sólido - Oral,EXFORGE,"Amlodipino 10mg/1U  + Hidroclorotiazida 12,5mg/1U  + Valsartan 160mg/1U",Sólido,Oral x 14,NOVARTIS,No regulado
C09DX01,Valsartan + Amlodipino + Hidroclorotiazida,Sólido - Oral,EXFORGE,"Amlodipino 10mg/1U  + Hidroclorotiazida 12,5mg/1U  + Valsartan 160mg/1U",Sólido,Oral x 28,NOVARTIS,No regulado
