Nombre del producto farmacéutico,Tipo de fármaco,Nombre del laboratorio ofertante,Estado,Aportación del beneficiario,Principio activo o asociación de principios activos,Precio venta con IVA_Euros,Nombre de la agrupación homogénea del producto sanitario,Diagnóstico hospitalario,Tratamiento de larga duración,Especial control médico,Medicamento huérfano
"OBALIX 20 mg comprimidos , 20 comprimidos",Medicamento Etica,"GUIDOTTI FARMA, S.L.",BAJA GENERAL,NORMAL,BILASTINA,6.99,BILASTINA 20 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"IBIS 20 mg comprimidos , 20 comprimidos",Medicamento Etica,"MENARINI,S.A.",ALTA,NORMAL,BILASTINA,6.99,BILASTINA 20 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"LIVAZO 1 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"CASEN RECORDATI, S.L..",ALTA,NORMAL,PITAVASTATINA CALCIO,5.35,PITAVASTATINA 1 MG 28 COMPRIMIDOS,NO,NO,NO,NO
LODERM 2% 70ML SOLUCION TOPICA EXTEMPORAN,Medicamento Etica,VIÑAS S.A.,ALTA,NORMAL,ERITROMICINA LAURIL SULFATO,3.75,ERITROMICINA 20MG 70 ML SOLUCION,NO,NO,NO,NO
"LIVAZO 2 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"CASEN RECORDATI, S.L..",ALTA,NORMAL,PITAVASTATINA,10.69,PITAVASTATINA 2 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ALIPZA 2 mg comprimidos recubiertos con pelicula , 28 comnprimidos",Medicamento Etica,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,NORMAL,PITAVASTATINA,10.69,PITAVASTATINA 2 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ALIPZA 4 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,NORMAL,PITAVASTATINA CALCIO,21.39,PITAVASTATINA 4 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"LIVAZO 4 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"CASEN RECORDATI, S.L..",ALTA,NORMAL,PITAVASTATINA,21.39,PITAVASTATINA 4 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"CLOPIDOGREL AUROVITAS SPAIN 75 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 50 comprimidos",Medicamento Generico,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,NORMAL,CLOPIDOGREL,30.02,CLOPIDOGREL 75 MG 50 COMPRIMIDOS,NO,NO,NO,NO
"ALIPZA 1 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,NORMAL,PITAVASTATINA CALCIO,5.35,PITAVASTATINA 1 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"PRAMIPEXOL MABO 0,7 mg comprimidos , 100 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",BAJA GENERAL,ESPECIAL,PRAMIPEXOL DIHIDROCLORURO MONOHIDRATO,98.83,"PRAMIPEXOL 0,7 MG 100 COMPRIMIDOS",NO,NO,NO,NO
"DOLOCATIL 500 mg comprimidos , 20 comprimidos (Tiras)",Medicamento Etica,FERRER INTERNACIONAL S.A.,ALTA,NORMAL,PARACETAMOL,0.67,PARACETAMOL 500 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"LAMOTRIGINA AUROBINDO 25 mg comprimidos dispersables , 21 comprimidos",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,ESPECIAL,LAMOTRIGINA,2.5,LAMOTRIGINA 25 MG 21 COMPRIMIDOS,NO,SI,NO,NO
"LAMOTRIGINA AUROBINDO 25 mg comprimidos dispersables , 42 comprimidos",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,ESPECIAL,LAMOTRIGINA,4.95,LAMOTRIGINA 25 MG 42 COMPRIMIDOS,NO,SI,NO,NO
"LAMOTRIGINA AUROBINDO 25 mg comprimidos dispersables , 56 comprimidos",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,ESPECIAL,LAMOTRIGINA,6.59,LAMOTRIGINA 25 MG 56 COMPRIMIDOS,NO,SI,NO,NO
"LAMOTRIGINA AUROBINDO 100 mg comprimidos dispersables , 56 comprimidos",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,ESPECIAL,LAMOTRIGINA,26.35,LAMOTRIGINA 100 MG 56 COMPRIMIDOS,NO,SI,NO,NO
"LAMOTRIGINA AUROBINDO 50 mg comprimidos dispersables , 42 comprimidos",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,ESPECIAL,LAMOTRIGINA,9.88,LAMOTRIGINA 50 MG 42 COMPRIMIDOS,NO,SI,NO,NO
"LAMOTRIGINA AUROBINDO 50 mg comprimidos dispersables , 56 comprimidos",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,ESPECIAL,LAMOTRIGINA,13.18,LAMOTRIGINA 50 MG 56 COMPRIMIDOS,NO,SI,NO,NO
"LAMOTRIGINA AUROBINDO 200 mg comprimidos dispersables , 30 comprimidos",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,ESPECIAL,LAMOTRIGINA,28.24,LAMOTRIGINA 200 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"LAMOTRIGINA AUROBINDO 5 mg comprimidos dispersables , 56 comprimidos",Medicamento Generico,"AUROBINDO, S.L.U",BAJA GENERAL,ESPECIAL,LAMOTRIGINA,2.5,LAMOTRIGINA 5 MG 56 COMPRIMIDOS,NO,SI,NO,NO
"VALSARTAN/ HIDROCLOROTIAZIDA STADA 80 mg/12,5mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"STADA, S.L",ALTA,NORMAL,"DIHIDROCLOROTIAZIDA,VALSARTAN",5.99,"VALSARTAN/HIDROCLOROTIAZIDA 80MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"VALSARTAN/ HIDROCLOROTIAZIDA STADA 160 mg/25mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"STADA, S.L",ALTA,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",11.99,VALSARTAN/HIDROCLOROTIAZIDA 160MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"VALSARTAN/ HIDROCLOROTIAZIDA STADA 160 mg/12,5mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"STADA, S.L",ALTA,NORMAL,"DIHIDROCLOROTIAZIDA,VALSARTAN",11.99,"VALSARTAN/HIDROCLOROTIAZIDA 160MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"LOSARTAN/HIDROCLOROTIAZIDA TECNIGEN 100 mg/12,5 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,NORMAL,"HIDROCLOROTIAZIDA,LOSARTAN POTASICO",5.84,LOSARTAN/ HIDROCLOROTIAZIDA 100MG/12.5MG 28 COMPRIMIDOS,NO,NO,NO,NO
"BROMAZEPAM NORMON 1,5 mg capsulas duras , 30 capsulas",Medicamento Generico,NORMON S.A.,ALTA,NORMAL,BROMAZEPAM,1.09,"BROMAZEPAM 1,5 MG 30 CAPSULAS",NO,NO,NO,NO
"BROMAZEPAM NORMON 3 mg capsulas duras , 30 capsulas",Medicamento Generico,NORMON S.A.,ALTA,NORMAL,BROMAZEPAM,1.14,BROMAZEPAM 3 MG 30 CAPSULAS,NO,NO,NO,NO
"BROMAZEPAN NORMON 6 mg capsulas duras , 20 capsulas",Medicamento Generico,NORMON S.A.,ALTA,NORMAL,BROMAZEPAM,1.37,BROMAZEPAM 6 MG 20 CAPSULAS,NO,NO,NO,NO
LODERM 2% 70G GEL,Medicamento Etica,VIÑAS S.A.,ALTA,NORMAL,ERITROMICINA,3.75,ERITROMICINA 20 MG 70 G GEL,NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA KERN PHARMA 160 mg/12,5 mg comprimidos recubiertos con pelicula , 28 comprimidos (Blister Al/Folio)",Medicamento Generico,"KERN PHARMA, S.L.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",11.99,"VALSARTAN/HIDROCLOROTIAZIDA 160MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA KERN PHARMA 80 mg/12,5 mg comprimidos recubiertos con pelicula , 28 comprimidos (Blister AL/Folio)",Medicamento Generico,"KERN PHARMA, S.L.",ALTA,NORMAL,"VALSARTAN,HIDROCLOROTIAZIDA",5.99,"VALSARTAN/HIDROCLOROTIAZIDA 80MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"TARDYFERON,  30 comprimidos recubiertos",Medicamento Etica,PIERRE FABRE IBERICA S.A.,ALTA,NORMAL,HIERRO SULFATO DESECADO,2.5,,NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA KERN PHARMA 160 mg/25 mg comprimidos recubiertos con pelicula , 28 comprimidos (blister AL/FOLIO)",Medicamento Generico,"KERN PHARMA, S.L.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",11.99,VALSARTAN/HIDROCLOROTIAZIDA 160MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA LAREQ 80 mg/12.5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 28 comprimidos",Medicamento Generico,"APOTEX ESPAÑA, S.L",BAJA GENERAL,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",5.99,"VALSARTAN/HIDROCLOROTIAZIDA 80MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA LAREQ 160 mg/12.5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 28 comprimidos",Medicamento Generico,"APOTEX ESPAÑA, S.L",BAJA GENERAL,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",11.99,"VALSARTAN/HIDROCLOROTIAZIDA 160MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"VALSARTAN/HIDROCLOROTIAZIDA LAREQ 160 mg/25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG , 28 comprimidos",Medicamento Generico,"APOTEX ESPAÑA, S.L",BAJA GENERAL,NORMAL,"VALSARTAN,HIDROCLOROTIAZIDA",11.99,VALSARTAN/HIDROCLOROTIAZIDA 160MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"VALSARTAN HIDROCLOROTIAZIDA COMBIX 80 mg/12.5 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,"VALSARTAN,HIDROCLOROTIAZIDA",5.99,"VALSARTAN/HIDROCLOROTIAZIDA 80MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"ACETATO DE CALCIO RENACARE 475 MG COMPRIMIDOS RECUBIERTOS CON PELICULA , 100 comprimidos",Medicamento Etica,RENACARE NEPHROMED GMBH,BAJA GENERAL,ESPECIAL,ACETATO CALCIO,7.73,,NO,NO,NO,NO
"VALSARTAN HIDROCLOROTIAZIDA COMBIX 160 mg/12.5 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,"VALSARTAN,HIDROCLOROTIAZIDA",11.99,"VALSARTAN/HIDROCLOROTIAZIDA 160MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"VALSARTAN HIDROCLOROTIAZIDA COMBIX 160 mg/25 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,"VALSARTAN,HIDROCLOROTIAZIDA",11.99,VALSARTAN/HIDROCLOROTIAZIDA 160MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"DONEPEZILO CINFA 10 MG COMPRIMIDOS , 28 comprimidos",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,DONEPEZILO HIDROCLORURO,65.16,DONEPEZILO 10 MG 28 COMPRIMIDOS,SI,NO,NO,NO
"LEVOCETIRIZINA CINFA 5 mg comprimidos recubiertos con pelicula , 20 comprimidos",Medicamento Generico,CINFA S.A.,SUSPENSION TEMPORAL GENERAL,NORMAL,LEVOCETIRIZINA DIHIDROCLORURO,5.9,LEVOCETIRIZINA 5 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"DONEPEZILO CINFA 5 MG COMPRIMIDOS , 28 comprimidos",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,DONEPEZILO HIDROCLORURO,32.58,DONEPEZILO 5 MG 28 COMPRIMIDOS,SI,NO,NO,NO
"RISEDRONATO SEMANAL CINFA 35 mg comprimidos recubiertos con pelicula , 4 comprimidos",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,RISEDRONATO SODIO,19.84,ACIDO RISEDRONICO 35 MG 4 COMPRIMIDOS,NO,NO,NO,NO
"LEVOCETIRIZINA NORMON 5 mg Comprimidos recubiertos con pelicula , 20 comprimidos",Medicamento Generico,NORMON S.A.,ALTA,NORMAL,LEVOCETIRIZINA DIHIDROCLORURO,5.9,LEVOCETIRIZINA 5 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"KREON 25.000 capsulas , 100 capsulas",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ESPECIAL,"PROTEASAS,AMILASA,LIPASA",42.12,,SI,NO,NO,NO
"REQUIP 1 mg  comprimidos recubiertos con pelicula , 21 comprimidos",Medicamento Etica,"GLAXOSMITHKLINE, S.A.",ALTA,ESPECIAL,ROPINIROL HIDROCLORURO,3.37,ROPINIROL 1 MG 21 COMPRIMIDOS,NO,NO,NO,NO
"KREON 25.000 capsulas , 50 capsulas",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ESPECIAL,"PROTEASAS,LIPASA,AMILASA",21.06,,SI,NO,NO,NO
"SENIORAL jarabe niños , 150 ml",Medicamento Etica,LABORATORIOS ERN S.A.,ALTA,NORMAL,"CLOCINIZINA DIHIDROCLORURO,FENILPROPANOLAMINA HIDROCLORURO",3.68,,NO,NO,NO,NO
"BIOPLAK 125 mg comprimidos , 30 comprimidos",Medicamento Etica,LABORATORIOS ERN S.A.,ALTA,NORMAL,ACETILSALICILICO ACIDO,2.5,,NO,SI,NO,NO
"SIMVASTATINA UXA 10 mg comprimidos, 28 Comprimidos",Medicamento Generico,"UXAFARMA, S.A.",BAJA POR NO COMERCIALIZAR,NORMAL,SIMVASTATINA,0.95,SIMVASTATINA 10 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"SIMVASTATINA UXA  20 mg comprimidos, 28 Comprimidos",Medicamento Generico,"UXAFARMA, S.A.",ALTA,NORMAL,SIMVASTATINA,1.58,SIMVASTATINA 20 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"SIMVASTATINA VIR 10 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,NORMAL,SIMVASTATINA,0.95,SIMVASTATINA 10 MG 28 COMPRIMIDOS,NO,SI,NO,NO
"REQUIP 0,5MG 21 COMPRIMIDOS RECUBIERTOS PELICULA",Medicamento Etica,"GLAXOSMITHKLINE, S.A.",ALTA,ESPECIAL,ROPINIROL,2.5,"ROPINIROL 0,5 MG 21 COMPRIMIDOS",NO,NO,NO,NO
"RASILEZ HCT 150MG/12,5MG 28 COMP RECUB PEL",Medicamento Etica,NODEN PHARMA DAC,BAJA POR NO COMERCIALIZAR,NORMAL,"HIDROCLOROTIAZIDA,ALISKIRENO",25.79,"ALISKIRENO/HIDROCLOROTIAZIDA 150MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
RASILEZ HCT 150MG/25MG 28 COMP RECUB PEL,Medicamento Etica,NODEN PHARMA DAC,BAJA POR NO COMERCIALIZAR,NORMAL,"HIDROCLOROTIAZIDA,ALISKIRENO",25.79,ALISKIRENO/HIDROCLOROTIAZIDA 150MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"RASILEZ HCT 300MG/12,5MG 28 COMP RECUB PEL",Medicamento Etica,NODEN PHARMA DAC,BAJA POR NO COMERCIALIZAR,NORMAL,"HIDROCLOROTIAZIDA,ALISKIRENO",41.26,"ALISKIRENO/HIDROCLOROTIAZIDA 300MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
RASILEZ HCT 300MG/25MG 28 COMP RECUB PEL,Medicamento Etica,NODEN PHARMA DAC,BAJA POR NO COMERCIALIZAR,NORMAL,"ALISKIRENO,HIDROCLOROTIAZIDA",41.26,ALISKIRENO/HIDROCLOROTIAZIDA 300MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"LOBIVON PLUS 5 mg/12,5 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"MENARINI,S.A.",ALTA,ESPECIAL,"HIDROCLOROTIAZIDA,NEBIVOLOL HIDROCLORURO",9.52,"NEBIVOLOL/HIDROCLOROTIAZIDA 5MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"LOBIVON PLUS 5 mg/25 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"MENARINI,S.A.",ALTA,ESPECIAL,"HIDROCLOROTIAZIDA,NEBIVOLOL HIDROCLORURO",11.16,NEBIVOLOL/HIDROCLOROTIAZIDA 5MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"SILOSTAR PLUS 5mg/12,5 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"GUIDOTTI FARMA, S.L.",ALTA,ESPECIAL,"NEBIVOLOL HIDROCLORURO,HIDROCLOROTIAZIDA",9.52,"NEBIVOLOL/HIDROCLOROTIAZIDA 5MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"SILOSTAR PLUS 5 mg/25 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Etica,"GUIDOTTI FARMA, S.L.",ALTA,ESPECIAL,"HIDROCLOROTIAZIDA,NEBIVOLOL HIDROCLORURO",11.16,NEBIVOLOL/HIDROCLOROTIAZIDA 5MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
OLANZAPINA APOTEX 5MG 28 COMP REC PEL EFG,Medicamento Generico,"APOTEX ESPAÑA, S.L",BAJA POR NO COMERCIALIZAR,ESPECIAL,OLANZAPINA,26.44,OLANZAPINA 5 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"OLANZAPINA APOTEX 7,5MG 56 COMP REC PEL EF",Medicamento Generico,"APOTEX ESPAÑA, S.L",BAJA POR NO COMERCIALIZAR,ESPECIAL,OLANZAPINA,79.33,"OLANZAPINA 7,5 MG 56 COMPRIMIDOS",NO,NO,NO,NO
OLANZAPINA APOTEX 10MG 28 COMP REC PEL EFG,Medicamento Generico,"APOTEX ESPAÑA, S.L",BAJA POR NO COMERCIALIZAR,ESPECIAL,OLANZAPINA,52.89,OLANZAPINA 10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
OLANZAPINA APOTEX 10MG 56 COMP REC PEL EFG,Medicamento Generico,"APOTEX ESPAÑA, S.L",BAJA POR NO COMERCIALIZAR,ESPECIAL,OLANZAPINA,105.78,OLANZAPINA 10 MG 56 COMPRIMIDOS,NO,NO,NO,NO
"REPAGLINIDA RATIOPHARM 2 mg comprimidos , 90 comprimidos (blister Al/Al)",Medicamento Generico,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,ESPECIAL,REPAGLINIDA,11.18,REPAGLINIDA 2 MG 90 COMPRIMIDOS,NO,NO,NO,NO
"REPAGLINIDA RATIOPHARM 0,5 mg comprimidos , 90 comprimidos (blister de Al/Al)",Medicamento Generico,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,ESPECIAL,REPAGLINIDA,2.79,"REPAGLINIDA 0,5 MG 90 COMPRIMIDOS",NO,NO,NO,NO
"REPAGLINIDA RATIOPHARM 1 mg comprimidos , 90 comprimidos (blister Al/Al)",Medicamento Generico,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,ESPECIAL,REPAGLINIDA,5.59,REPAGLINIDA 1 MG 90 COMPRIMIDOS,NO,NO,NO,NO
"METFORMINA RATIOPHARM 850 mg comprimidos recubiertos con pelicula , 50 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,ESPECIAL,METFORMINA HIDROCLORURO,1.94,METFORMINA 850 MG 50 COMPRIMIDOS,NO,NO,NO,NO
"NATECAL D comprimidos masticables, 60 comprimidos",Medicamento Etica,ITALFARMACO S.A.,ALTA,NORMAL,"CALCIO CARBONATO,COLECALCIFEROL",7.21,CALCIO CARBONATO/COLECALCIFEROL 1500MG (600MG)/400UI 60 COMPRIMIDOS MASTICABLES,NO,NO,NO,NO
"VALSARTAN-HIDROCLOROTIAZIDA SANDOZ 320 mg/25 mg comprimidos recubiertos con pelicula , 28 comprimidos (blister PVC/PVDC/AL)",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",ALTA,NORMAL,"HIDROCLOROTIAZIDA,VALSARTAN",23.96,VALSARTAN/HIDROCLOROTIAZIDA 320MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ESCITALOPRAM MABO 20 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,ESPECIAL,ESCITALOPRAM OXALATO,17.48,ESCITALOPRAM 20 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ESCITALOPRAM MABO 15 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,ESPECIAL,ESCITALOPRAM OXALATO,13.11,ESCITALOPRAM 15 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ESCITALOPRAM MABO 10 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,ESPECIAL,ESCITALOPRAM OXALATO,8.74,ESCITALOPRAM 10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"PANTOPRAZOL MABO 40 mg comprimidos gastrorresistentes , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,PANTOPRAZOL SODICO,17.48,PANTOPRAZOL 40 MG 28 COMPRIMIDOS ENTERICOS/GASTRORRESISTENTES,NO,NO,NO,NO
"PANTOPRAZOL MABO 20 mg comprimidos gastrorresistentes ,28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,PANTOPRAZOL SODICO,8.74,PANTOPRAZOL 20 MG 28 COMPRIMIDOS ENTERICOS/GASTRORRESISTENTES,NO,NO,NO,NO
"LOSARTAN/HIDROCLOROTIAZIDA MABO 100/25 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,LOSARTAN POTASICO",5.84,LOSARTAN/HIDROCLOROTIAZIDA 100MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"LOSARTAN/HIDROCLOROTIAZIDA MABO 50/12,5 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,"HIDROCLOROTIAZIDA,LOSARTAN POTASICO",2.92,"LOSARTAN/HIDROCLOROTIAZIDA 50MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"CLOPIDOGREL MABO 75 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,CLOPIDOGREL HIDROGENOSULFATO,16.81,CLOPIDOGREL 75 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ATORVASTATINA MABO 40 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,ATORVASTATINA CALCICA TRIHIDRATO,16.36,ATORVASTATINA 40 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ATORVASTATINA MABO 20 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,ATORVASTATINA CALCICA TRIHIDRATO,8.18,ATORVASTATINA 20 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"ATORVASTATINA MABO 10 mg comprimidos recubiertos con pelicula , 28 comprimidos",Medicamento Generico,"MABO-FARMA, S.A.",ALTA,NORMAL,ATORVASTATINA CALCICA TRIHIDRATO,4.09,ATORVASTATINA 10 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"FRAXIPARINA 0,3 ml solucion inyectable , 10 jeringas",Medicamento Etica,"ASPEN PHARMACARE ESPAÑA, S.L.",BAJA GENERAL,ESPECIAL,NADROPARINA CALCICA,24.1,,NO,NO,NO,NO
"FRAXIPARINA 0,8 ml solucion inyectable , 10 jeringas",Medicamento Etica,"ASPEN PHARMACARE ESPAÑA, S.L.",BAJA GENERAL,ESPECIAL,NADROPARINA CALCICA,63.96,,NO,NO,NO,NO
"FRAXIPARINA FORTE 0,6 ml, 10 jeringas",Medicamento Etica,"ASPEN PHARMACARE ESPAÑA, S.L.",BAJA GENERAL,ESPECIAL,NADROPARINA CALCICA,94.02,,NO,NO,NO,NO
"FRAXIPARINA FORTE 0,8 ml solucion inyectable , 10 jeringas",Medicamento Etica,"ASPEN PHARMACARE ESPAÑA, S.L.",BAJA GENERAL,ESPECIAL,NADROPARINA CALCICA,116.02,,NO,NO,NO,NO
"FRAXIPARINA FORTE 1 ml, 10 jeringas",Medicamento Etica,"ASPEN PHARMACARE ESPAÑA, S.L.",BAJA GENERAL,ESPECIAL,NADROPARINA CALCICA,149.49,,NO,NO,NO,NO
"FRAXIPARINA 0,6 ml 10 Jeringas Precargadas",Medicamento Etica,"ASPEN PHARMACARE ESPAÑA, S.L.",BAJA GENERAL,ESPECIAL,NADROPARINA CALCICA,44.29,,NO,NO,NO,NO
"FRAXIPARINA 0,4 ml , 10 JERINGAS",Medicamento Etica,"ASPEN PHARMACARE ESPAÑA, S.L.",BAJA GENERAL,ESPECIAL,NADROPARINA CALCICA,32.33,,NO,NO,NO,NO
"FRAGMIN 2.500 UI/0,2 ml, solucion inyectable en jeringas desechables, 25 jeringas de 0,2 ml",Medicamento Etica,"VIATRIS  HEALTHCARE, S.L.",BAJA GENERAL,ESPECIAL,DALTEPARINA SODICA,51.61,,NO,NO,NO,NO
"FRAGMIN 5.000 UI/0,2 ml solucion inyectable en jeringas precargadas , 25 jeringas de 0,2 ml",Medicamento Etica,"PFIZER, S.L",ALTA,ESPECIAL,DALTEPARINA SODICA,112.79,,NO,NO,NO,NO
"OMEPRAZOL TEVA-RIMAFAR 20 mg CAPSULAS DURAS GASTRORRESISTENTES , 28 capsulas",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,OMEPRAZOL,2.42,OMEPRAZOL 20 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"SULPIRIDA KERN PHARMA 50  mg capsulas , 30 capsulas",Medicamento Generico,"KERN PHARMA, S.L.",ALTA,ESPECIAL,SULPIRIDA,1.89,SULPIRIDA 50 MG 30 CAPSULAS,NO,NO,NO,NO
