SERVICIO,DESCRIPCION,PIEZAS SOLICITADAS
CIRUGIA PLASTICA Y RECONSTRUCTIVA,KETOROLACO/TRAMADOL,0
URGENCIAS,AMOXICILINA/CLAVULANATO,3
URGENCIAS,ATORVASTATINA,3
MEDICINA INTERNA,TRIMETOPRIM/SULFAMETOXAZOL,9
MEDICINA INTERNA,ERITROPOYETINA,0
TERAPIA INTENSIVA,BICARBONATO,1
TERAPIA INTENSIVA,BICARBONATO,35
AREA DE CHOQUE,EPINEFRINA,5
AREA DE CHOQUE,ATROPINA,5
TERAPIA INTENSIVA,CLORURO,1
AREA DE CHOQUE,TERLIPRESINA,2
AREA DE CHOQUE,FENITOINA,5
TERAPIA RESPIRATORIA,IPRATROPIO,5
UROLOGIA (CONSULTA),LIDOCAINA,3
UROLOGIA (CONSULTA),BETAMETASONA,10
URGENCIAS,OXIMETAZOLINA,1
URGENCIAS,HEPARINA,4
NEONATOLOGIA,SULFADIAZINA,4
URGENCIAS,OMEPRAZOL,0
URGENCIAS,DEXMEDETOMIDINA,15
MEDICINA INTERNA,SULFATO,50
MEDICINA INTERNA,CLORURO,5
MEDICINA INTERNA,NOREPINEFRINA,30
NEONATOLOGIA,DEXMEDETOMIDINA,10
PEDIATRIA CLINICA,VALPROICO,5
URGENCIAS,MISOPROSTOL,8
URGENCIAS,AMIKACINA,1
URGENCIAS,RISPERIDONA,1
SUBDIRECCION DE ENFERMERIA,SULFADIAZINA,1
TERAPIA INTENSIVA PEDIATRICA,CEFEPIME,2
NEONATOLOGIA,VITAMINA,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,LACTULOSA,1
MEDICINA INTERNA,CEFALOTINA,3
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,3
MEDICINA INTERNA,CEFALOTINA,1
MEDICINA INTERNA,METRONIDAZOL,1
MEDICINA INTERNA,AMPICILINA,8
MEDICINA INTERNA,FUROSEMIDA,1
URGENCIAS PEDIATRICAS,DICLOXACILINA,0
URGENCIAS PEDIATRICAS,CEFOTAXIMA,2
ANESTESIOLOGIA,LIDOCAINA,30
ANESTESIOLOGIA,BICARBONATO,50
ANESTESIOLOGIA,GLUCONATO,50
ANESTESIOLOGIA,DESFLURANO,20
UNIDAD TOCOQUIRURGICA,MISOPROSTOL,0
CIRUGIA GENERAL,GLUCOSA,1
AREA DE CHOQUE,SULFATO,20
AREA DE CHOQUE,KETOROLACO/TRAMADOL,10
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,NOREPINEFRINA,12
GINECO OBSTETRICIA,METOCLOPRAMIDA,10
CPR QUIROFANO,LIDOCAINA/EPINEFRINA,12
URGENCIAS GINECOBSTETRICAS,OMEPRAZOL,6
URGENCIAS GINECOBSTETRICAS,MISOPROSTOL,0
URGENCIAS PEDIATRICAS,FENITOINA,10
URGENCIAS PEDIATRICAS,ONDANSENTRON,8
GINECO OBSTETRICIA,CLORURO,6
AREA DE CHOQUE,PROPOFOL,4
AREA DE CHOQUE,CEFEPIME,3
AREA DE CHOQUE,METOCLOPRAMIDA,2
AREA DE CHOQUE,PROPOFOL,2
AREA DE CHOQUE,CLONIXINATO,3
AREA DE CHOQUE,NIFEDIPINO,2
CIRUGIA GENERAL,METFORMINA,2
TERAPIA INTENSIVA,DEXMEDETOMIDINA,10
CIRUGIA PLASTICA Y RECONSTRUCTIVA,ACETILSALICILICO,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,KETOROLACO/TRAMADOL,3
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CIPROFLOXACINO,2
CIRUGIA GENERAL,SENOSIDOS,1
CIRUGIA GENERAL,METFORMINA,1
URGENCIAS PEDIATRICAS,BENCILPENICILINA,4
URGENCIAS PEDIATRICAS,FENITOINA,3
URGENCIAS PEDIATRICAS,LEVETIRACETAM,2
CIRUGIA GENERAL,MULTIVITAMINICO,2
CIRUGIA GENERAL,ATORVASTATINA,2
CIRUGIA GENERAL,BUDESONIDA,3
URGENCIAS,CEFALEXINA,2
URGENCIAS,ACETILSALICILICO,2
UNIDAD TOCOQUIRURGICA,MISOPROSTOL,5
CIRUGIA GENERAL,VALPROICO,6
AREA DE CHOQUE,BUTILHIOSCINA,15
AREA DE CHOQUE,PARACETAMOL,4
AREA DE CHOQUE,NIFEDIPINO,10
AREA DE CHOQUE,ISOSORBIDA,5
AREA DE CHOQUE,GABAPENTINA,4
TERAPIA INTENSIVA,BUTILHIOSCINA,1
MEDICINA INTERNA,SERO,10
MEDICINA INTERNA,AMIODARONA,10
TERAPIA INTENSIVA,SERO,1
MEDICINA INTERNA,AMPICILINA,4
NEONATOLOGIA,AMIKACINA,3
URGENCIAS,CAPTOPRIL,3
CPR QUIROFANO,CEFALOTINA,2
CPR QUIROFANO,PARACETAMOL,2
CPR QUIROFANO,CLONIXINATO,2
ORTOPEDIA,DOXICICLINA,2
UROLOGIA,PROPOFOL,2
TERAPIA INTENSIVA,METOPROLOL,2
UNIDAD TOCOQUIRURGICA,HIDROCORTISONA,3
UNIDAD TOCOQUIRURGICA,CEFTRIAXONA,1
AREA DE CHOQUE,LEVETIRACETAM,1
AREA DE CHOQUE,CEFEPIME,6
UROLOGIA,LACTULOSA,1
TERAPIA INTENSIVA,PRAZOSINA,4
ORTOPEDIA,FITOMENADIONA,2
CIRUGIA GENERAL,AMIODARONA,2
CIRUGIA GENERAL,BUTILHIOSCINA,3
ORTOPEDIA,METRONIDAZOL,3
AREA DE CHOQUE,CLONIXINATO,2
PEDIATRIA CLINICA,VANCOMICINA,4
PEDIATRIA CLINICA,VALPROICO,3
PEDIATRIA CLINICA,RISPERIDONA,3
TERAPIA INTENSIVA PEDIATRICA,BENCILPENICILINA,4
TERAPIA INTENSIVA PEDIATRICA,FUROSEMIDA,2
CIRUGIA GENERAL,LACTULOSA,2
GINECO OBSTETRICIA,METOCLOPRAMIDA,20
GINECO OBSTETRICIA,TRAMADOL,20
GINECO OBSTETRICIA,PARACETAMOL,12
URGENCIAS,SULFATO,20
CIRUGIA GENERAL,CLONAZEPAM,2
TERAPIA INTENSIVA,FLUMAZENIL,1
TERAPIA INTENSIVA,FENITOINA,1
MEDICINA INTERNA,CEFALOTINA,5
MEDICINA INTERNA,CLOPIDOGREL,1
CLINICA DE CATETERES,LIDOCAINA,5
CLINICA DE CATETERES,HEPARINA,2
NEONATOLOGIA,GLUCOSA,30
MEDICINA INTERNA,FOSFATO,30
URGENCIAS GINECOBSTETRICAS,PARACETAMOL,10
UNIDAD TOCOQUIRURGICA,FITOMENADIONA,15
UNIDAD TOCOQUIRURGICA,KETOROLACO,20
TERAPIA INTENSIVA PEDIATRICA,ADENOSINA,5
TERAPIA INTENSIVA PEDIATRICA,ESMOLOL,2
ANESTESIOLOGIA,METAMIZOL,50
ANESTESIOLOGIA,BUTILHIOSCINA,50
ANESTESIOLOGIA,ONDANSETRON,30
ANESTESIOLOGIA,ONDANSENTRON,20
ANESTESIOLOGIA,CISATRACURIO,50
URGENCIAS,DIAZEPAM,6
URGENCIAS,ATORVASTATINA,20
URGENCIAS,FENITOINA,6
TERAPIA INTENSIVA,PRAZOSINA,6
MEDICINA INTERNA,HALOPERIDOL,1
URGENCIAS,BUTILHIOSCINA,13
URGENCIAS,KETOROLACO,13
URGENCIAS,ONDANSENTRON,12
URGENCIAS,METOCLOPRAMIDA,12
MEDICINA INTERNA,ACENOCUMAROL,10
URGENCIAS,LEVETIRACETAM,8
CIRUGIA GENERAL,MIDAZOLAM,10
URGENCIAS,PRAZOSINA,8
AREA DE CHOQUE,OMEPRAZOL,0
AREA DE CHOQUE,SERO,2
AREA DE CHOQUE,ACETAZOLAMIDA,2
TERAPIA INTENSIVA,PRAZOSINA,8
URGENCIAS,ONDANSENTRON,1
TERAPIA INTENSIVA,FENITOINA,3
TERAPIA INTENSIVA,GLUCONATO,6
URGENCIAS,SERO,3
CIRUGIA GENERAL,ATORVASTATINA,4
MEDICINA INTERNA,LINEZOLID,0
MEDICINA INTERNA,AMIODARONA,4
CIRUGIA GENERAL,METOCLOPRAMIDA,35
CIRUGIA GENERAL,CLONIXINATO,25
CIRUGIA GENERAL,PARACETAMOL,25
CIRUGIA GENERAL,FITOMENADIONA,15
CIRUGIA GENERAL,OMEPRAZOL,10
CIRUGIA GENERAL,PROPOFOL,10
CIRUGIA PLASTICA Y RECONSTRUCTIVA,NIFEDIPINO,8
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CAPTOPRIL,7
CIRUGIA PLASTICA Y RECONSTRUCTIVA,ACETILSALICILICO,6
AREA DE CHOQUE,METOPROLOL,10
AREA DE CHOQUE,HIDROCORTISONA,0
AREA DE CHOQUE,ESPIRONOLACTONA,10
AREA DE CHOQUE,FENITOINA,6
AREA DE CHOQUE,CAPTOPRIL,10
AREA DE CHOQUE,METOCLOPRAMIDA,0
AREA DE CHOQUE,ATORVASTATINA,10
AREA DE CHOQUE,CLOPIDOGREL,2
MEDICINA INTERNA,ATORVASTATINA,10
URGENCIAS GINECOBSTETRICAS,AMPICILINA,2
URGENCIAS GINECOBSTETRICAS,ERITROMICINA,2
TERAPIA INTENSIVA,METOPROLOL,3
TERAPIA INTENSIVA,DESMOPRESINA,2
TERAPIA INTENSIVA PEDIATRICA,VANCOMICINA,6
TERAPIA INTENSIVA PEDIATRICA,FENITOINA,3
CIRUGIA GENERAL,LEVETIRACETAM,0
CIRUGIA GENERAL,CARBAMAZEPINA,9
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CLINDAMICINA,4
UROLOGIA,VANCOMICINA,16
TERAPIA INTENSIVA PEDIATRICA,DEXAMETASONA,4
TERAPIA INTENSIVA PEDIATRICA,FUROSEMIDA,3
TERAPIA INTENSIVA PEDIATRICA,VANCOMICINA,3
TERAPIA INTENSIVA PEDIATRICA,OMEPRAZOL,1
TERAPIA INTENSIVA PEDIATRICA,PARACETAMOL,2
TERAPIA INTENSIVA PEDIATRICA,FUROSEMIDA,1
TERAPIA INTENSIVA PEDIATRICA,CEFTRIAXONA,2
TERAPIA INTENSIVA PEDIATRICA,CLINDAMICINA,4
URGENCIAS,DIGOXINA,1
ORTOPEDIA,PARACETAMOL,4
ORTOPEDIA,AMOXICILINA/CLAVULATO,12
CIRUGIA GENERAL,VALPROICO,18
MEDICINA INTERNA,CIPROFLOXACINO,8
AREA DE CHOQUE,VANCOMICINA,3
URGENCIAS,CLARITROMICINA,3
TERAPIA INTENSIVA,TRIMETOPRIMA/SULFAMETOXAZOL,1
UNIDAD TOCOQUIRURGICA,OXITOCINA,100
MEDICINA INTERNA,METAMIZOL,4
MEDICINA INTERNA,METILPREDNISOLONA,3
MEDICINA INTERNA,ESPIRONOLACTONA,3
URGENCIAS,LOPERAMIDA,5
URGENCIAS,LOPERAMIDA,4
UROLOGIA,NIFEDIPINO,4
CIRUGIA GENERAL,PARACETAMOL,52
CIRUGIA GENERAL,METOCLOPRAMIDA,15
AREA DE CHOQUE,ONDANSETRON,0
AREA DE CHOQUE,LOPERAMIDA,6
URGENCIAS,GLUCONATO,50
UNIDAD TOCOQUIRURGICA,PARACETAMOL,12
UNIDAD TOCOQUIRURGICA,LIDOCAINA/EPINEFRINA,5
CIRUGIA GENERAL,TIAMINA,4
UROLOGIA,SENOSIDOS,4
CIRUGIA PLASTICA Y RECONSTRUCTIVA,SENOSIDOS,4
URGENCIAS,EPINEFRINA,7
URGENCIAS,ATROPINA,1
NEONATOLOGIA,AMFOTERICINA,3
URGENCIAS,NITROGLICERINA,6
URGENCIAS,NITROGLICERINA,2
URGENCIAS,VASOPRESINA,3
URGENCIAS,ROCURONIO,2
SUBDIRECCION DE ENFERMERIA,PRAZOSINA,4
MEDICINA INTERNA,AMIODARONA,15
MEDICINA INTERNA,OMEPRAZOL,20
AREA DE CHOQUE,NOREPINEFRINA,8
URGENCIAS,LOPERAMIDA,3
TERAPIA INTENSIVA,GLUCOSA,4
TERAPIA INTENSIVA,METOCLOPRAMIDA,2
AREA DE CHOQUE,CEFTRIAXONA,4
MEDICINA INTERNA,METRONIDAZOL,4
AREA DE CHOQUE,TRAMADOL,2
MEDICINA INTERNA,LEVETIRACETAM,12
MEDICINA INTERNA,DOXICICLINA,0
MEDICINA INTERNA,FLUCONAZOL,11
ORTOPEDIA,TRIMETOPRIM/SULFAMETOXAZOL,6
CIRUGIA GENERAL,LEVETIRACETAM,12
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,0
AREA DE CHOQUE,TRIMETOPRIM/SULFAMETOXAZOL,6
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,20
URGENCIAS,LINEZOLID,4
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CEFTAZIDIMA,2
ORTOPEDIA,CEFALOTINA,1
AREA DE CHOQUE,METOPROLOL,1
TERAPIA INTENSIVA PEDIATRICA,DEXMEDETOMIDINA,1
UNIDAD TOCOQUIRURGICA,ALFA-METILDOPA,5
URGENCIAS PEDIATRICAS,LORATADINA,1
URGENCIAS,NITROPRUSIATO,0
URGENCIAS,PREDNISONA,1
URGENCIAS PEDIATRICAS,BIPERIDENO,3
URGENCIAS,NITROGLICERINA,3
CIRUGIA GENERAL,FLUMAZENIL,1
MEDICINA INTERNA,FOLICO,2
CIRUGIA GENERAL,PROPOFOL,1
CIRUGIA GENERAL,DEXAMETASONA,1
TERAPIA INTENSIVA PEDIATRICA,INMUNOGLOBULINA,8
URGENCIAS,CIPROFLOXACINO,3
MEDICINA INTERNA,DEXMEDETOMIDINA,5
ENDOSCOPIA,CEFTRIAXONA,1
ENDOSCOPIA,METRONIDAZOL,1
TERAPIA INTENSIVA PEDIATRICA,DEXMEDETOMIDINA,2
UROLOGIA,CEFALOTINA,2
URGENCIAS,CASPOFUNGINA,2
AREA DE CHOQUE,VALPROICO,5
PEDIATRIA CLINICA,BENCILPENICILINA,4
URGENCIAS,BICARBONATO,1
URGENCIAS,AMIODARONA,4
URGENCIAS,CLORURO,1
NEONATOLOGIA,FENITOINA,20
NEONATOLOGIA,GLUCONATO,15
NEONATOLOGIA,HEPARINA,2
NEONATOLOGIA,LEVOTIROXINA,20
NEONATOLOGIA,METOCLOPRAMIDA,20
NEONATOLOGIA,OMEPRAZOL,20
NEONATOLOGIA,PARACETAMOL,4
UNIDAD TOCOQUIRURGICA,BUPIVACAINA,10
GINECO OBSTETRICIA,ONDANSETRON,20
GINECO OBSTETRICIA,INSULINA,1
GINECO OBSTETRICIA,LIDOCAINA,1
GINECO OBSTETRICIA,DEXAMETASONA,20
ENDOSCOPIA,PARACETAMOL,10
ENDOSCOPIA,METAMIZOL,20
ENDOSCOPIA,ESMOLOL,1
ENDOSCOPIA,OMEPRAZOL,10
ENDOSCOPIA,KETOROLACO,30
ENDOSCOPIA,ADENOSINA,3
ENDOSCOPIA,AMIODARONA,4
URGENCIAS,ADENOSINA,10
URGENCIAS,VASOPRESINA,5
TERAPIA INTENSIVA,DEXMEDETOMIDINA,8
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DOXICICLINA,3
PEDIATRIA CLINICA,METILPREDNISOLONA,2
URGENCIAS,CEFTRIAXONA,12
URGENCIAS,LINEZOLID,0
MEDICINA INTERNA,TRAMADOL,1
MEDICINA INTERNA,AMPICILINA,14
MEDICINA INTERNA,ATORVASTATINA,1
GINECO OBSTETRICIA,BETAMETASONA,3
TERAPIA INTENSIVA,TRIMETOPRIMA/SULFAMETOXAZOL,2
TERAPIA INTENSIVA,GLUCOSA,3
GINECO OBSTETRICIA,BETAMETASONA,1
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,1
MEDICINA INTERNA,HALOPERIDOL,3
MEDICINA INTERNA,ENOXAPARINA,4
CIRUGIA GENERAL,CLORURO,1
AREA DE CHOQUE,MULTIVITAMINICO,2
GINECO OBSTETRICIA,PARACETAMOL,20
QUIROFANOS,OMEPRAZOL,20
QUIROFANOS,PARACETAMOL,24
QUIROFANOS,TRAMADOL,20
QUIROFANOS,KETOROLACO,30
URGENCIAS PEDIATRICAS,FITOMENADIONA,6
URGENCIAS GINECOBSTETRICAS,NIFEDIPINO,10
URGENCIAS GINECOBSTETRICAS,PARACETAMOL,2
QUIROFANOS,DOBUTAMINA,2
QUIROFANOS,ESMOLOL,1
ANESTESIOLOGIA,PARACETAMOL,40
ANESTESIOLOGIA,ROPIVACAINA,50
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,GLUCONATO,13
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,HIDROCORTISONA,6
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,METILPREDNISOLONA,4
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,SULFATO,27
UNIDAD TOCOQUIRURGICA,CEFTRIAXONA,3
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,4
TERAPIA INTENSIVA PEDIATRICA,LEVETIRACETAM,1
URGENCIAS,FENITOINA,5
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,1
MEDICINA INTERNA,VALPROICO,2
MEDICINA INTERNA,ONDANSETRON,2
MEDICINA INTERNA,FENITOINA,4
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,8
MEDICINA INTERNA,TOPIRAMATO,8
CIRUGIA GENERAL,SULFATO,2
TERAPIA INTENSIVA PEDIATRICA,HEPARINA,2
URGENCIAS,KETOROLACO,18
URGENCIAS,ONDANSETRON,18
URGENCIAS,TRAMADOL,25
CIRUGIA PLASTICA Y RECONSTRUCTIVA,KETOROLACO,2
TERAPIA INTENSIVA PEDIATRICA,DEXAMETASONA,3
CIRUGIA GENERAL,CEFALOTINA,5
CIRUGIA GENERAL,PARACETAMOL,4
OTORRINOLARINGOLOGIA,ADENOSINA,3
OTORRINOLARINGOLOGIA,AMIODARONA,3
OTORRINOLARINGOLOGIA,FUROSEMIDA,3
ANESTESIOLOGIA,ATROPINA,100
ANESTESIOLOGIA,BUTILHIOSCINA,100
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,FENITOINA,6
UROLOGIA,AMIKACINA,0
UROLOGIA,BUTILHIOSCINA,15
UROLOGIA,BETAMETASONA,0
URGENCIAS,BICARBONATO,100
URGENCIAS,NOREPINEFRINA,30
ENDOSCOPIA,CEFALOTINA,1
GINECO OBSTETRICIA,METOPROLOL,2
AREA DE CHOQUE,TRAMADOL,1
MEDICINA INTERNA,METRONIDAZOL,6
UROLOGIA,MEROPENEM,2
UROLOGIA,ENOXAPARINA,0
UROLOGIA,METOCLOPRAMIDA,3
MEDICINA INTERNA,TOPIRAMATO,0
GINECO OBSTETRICIA,PARACETAMOL,3
TERAPIA INTENSIVA PEDIATRICA,INMUNOGLOBULINA,9
ORTOPEDIA,ACETILSALICILICO,1
ORTOPEDIA,AMOXICILINA/CLAVULATO,0
GINECO OBSTETRICIA,LACTULOSA,1
TERAPIA INTENSIVA,PRAZOSINA,3
TERAPIA INTENSIVA,FENITOINA,2
AREA DE CHOQUE,PAROXETINA,1
AREA DE CHOQUE,PREGABALINA,1
AREA DE CHOQUE,ESPIRONOLACTONA,2
AREA DE CHOQUE,OMEPRAZOL,4
AREA DE CHOQUE,KETOROLACO,3
MEDICINA INTERNA,FENITOINA,5
URGENCIAS,CASPOFUNGINA,1
URGENCIAS,TERLIPRESINA,1
URGENCIAS,ONDANSETRON,1
URGENCIAS GINECOBSTETRICAS,SULFATO,20
URGENCIAS GINECOBSTETRICAS,HIDRALAZINA,5
URGENCIAS,NITROPRUSIATO,1
URGENCIAS,TRIMETOPRIM/SULFAMETOXAZOL,4
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,10
NEONATOLOGIA,MEROPENEM,3
NEONATOLOGIA,VANCOMICINA,1
TERAPIA INTENSIVA,AMIKACINA,6
ORTOPEDIA,CLINDAMICINA,3
CIRUGIA GENERAL,HALOPERIDOL,5
QUIROFANOS,LIDOCAINA/EPINEFRINA,5
MEDICINA INTERNA,TRAMADOL,5
MEDICINA INTERNA,VALPROICO,1
QUIROFANOS,OXIMETAZOLINA,5
QUIROFANOS,LIDOCAINA,0
ORTOPEDIA (CONSULTA),BETAMETASONA,10
PEDIATRIA CLINICA,GLUCONATO,30
PEDIATRIA CLINICA,TRAMADOL,10
MEDICINA INTERNA,ADENOSINA,3
MEDICINA INTERNA,AMIODARONA,6
MEDICINA INTERNA,ATROPINA,3
MEDICINA INTERNA,VECURONIO,3
MEDICINA INTERNA,GLUCONATO,3
MEDICINA INTERNA,METILPREDNISOLONA,1
MEDICINA INTERNA,NITROGLICERINA,1
MEDICINA INTERNA,ESMOLOL,1
MEDICINA INTERNA,FENITOINA,1
MEDICINA INTERNA,LIDOCAINA,1
MEDICINA INTERNA,FOSFATO,50
AREA DE CHOQUE,NIFEDIPINO,1
UROLOGIA,TRAMADOL,2
CIRUGIA GENERAL,CEFALOTINA,6
CIRUGIA GENERAL,VALPROICO,0
URGENCIAS,HIDROCORTISONA,4
URGENCIAS,NITROPRUSIATO,2
GINECO OBSTETRICIA,METFORMINA,1
GINECO OBSTETRICIA,LEVOTIROXINA,1
PEDIATRIA CLINICA,VALPROICO,9
TERAPIA INTENSIVA PEDIATRICA,LACTULOSA,2
TERAPIA INTENSIVA,TRIMETOPRIMA/SULFAMETOXAZOL,4
URGENCIAS,LINEZOLID,6
QUIROFANOS,AMIKACINA,6
MEDICINA INTERNA,TRIMETOPRIM/SULFAMETOXAZOL,3
MEDICINA INTERNA,LEVETIRACETAM,5
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,25
ORTOPEDIA,DOXICICLINA,4
URGENCIAS PEDIATRICAS,CEFOTAXIMA,1
URGENCIAS PEDIATRICAS,CLINDAMICINA,1
URGENCIAS,DOXICICLINA,4
TERAPIA INTENSIVA,AMPICILINA,2
ORTOPEDIA,CLINDAMICINA,2
UNIDAD TOCOQUIRURGICA,CEFALOTINA,3
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CLORURO,20
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DOXICICLINA,0
UNIDAD TOCOQUIRURGICA,KETOROLACO,5
CIRUGIA GENERAL,PARACETAMOL,5
CIRUGIA GENERAL,OMEPRAZOL,4
URGENCIAS,CLORURO,2
CIRUGIA GENERAL,VALPROICO,60
TERAPIA INTENSIVA PEDIATRICA,TIAMINA,2
TERAPIA INTENSIVA PEDIATRICA,DEXAMETASONA,10
ANESTESIOLOGIA,AMINOCAPROICO,10
UNIDAD TOCOQUIRURGICA,LIDOCAINA,4
UNIDAD TOCOQUIRURGICA,LIDOCAINA/EPINEFRINA,10
AREA DE CHOQUE,SULFATO,15
AREA DE CHOQUE,FOSFATO,30
AREA DE CHOQUE,CAPTOPRIL,15
AREA DE CHOQUE,NIFEDIPINO,15
AREA DE CHOQUE,ONDANSENTRON,15
AREA DE CHOQUE,AMBROXOL,1
GINECO OBSTETRICIA,ONDANSENTRON,10
CIRUGIA GENERAL,PARACETAMOL,48
CIRUGIA GENERAL,OMEPRAZOL,12
CIRUGIA GENERAL,MULTIVITAMINICO,6
CIRUGIA GENERAL,METOCLOPRAMIDA,10
UNIDAD TOCOQUIRURGICA,FUROSEMIDA,5
UNIDAD TOCOQUIRURGICA,OMEPRAZOL,4
ANESTESIOLOGIA,PARACETAMOL,50
ANESTESIOLOGIA,OMEPRAZOL,50
ANESTESIOLOGIA,DESMOPRESINA,10
ANESTESIOLOGIA,CLONIDINA,20
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DIFENIDOL,1
GINECO OBSTETRICIA,CEFTRIAXONA,1
GINECO OBSTETRICIA,METRONIDAZOL,1
URGENCIAS,MULTIVITAMINICO,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CLINDAMICINA,1
QUIROFANOS,AMIODARONA,1
QUIROFANOS,ESMOLOL,0
AREA DE CHOQUE,TRAMADOL,10
AREA DE CHOQUE,HEPARINA,1
AREA DE CHOQUE,ASCORBICO,5
PEDIATRIA CLINICA,ACETAZOLAMIDA,1
AREA DE CHOQUE,MULTIVITAMINICO,3
AREA DE CHOQUE,CIPROFLOXACINO,3
TERAPIA INTENSIVA,PIPERACILINA/TAZOBACTAM,1
AREA DE CHOQUE,PARACETAMOL,7
CIRUGIA GENERAL,TIAMINA,5
NEONATOLOGIA,AMIKACINA,1
CIRUGIA GENERAL,FENITOINA,3
AREA DE CHOQUE,VANCOMICINA,5
URGENCIAS PEDIATRICAS,CLORFENAMINA,10
URGENCIAS PEDIATRICAS,HIDROCORTISONA,0
URGENCIAS GINECOBSTETRICAS,TRAMADOL,10
ANESTESIOLOGIA,PROPOFOL,20
ANESTESIOLOGIA,SALBUTAMOL,20
ANESTESIOLOGIA,CLORFENAMINA,50
ANESTESIOLOGIA,FUROSEMIDA,50
URGENCIAS,SULFATO,10
MEDICINA INTERNA,METOPROLOL,4
QUIROFANOS,TRAMADOL,30
QUIROFANOS,FOSFATO,5
QUIROFANOS,PRAZOSINA,5
QUIROFANOS,PARACETAMOL,12
URGENCIAS PEDIATRICAS,CEFOTAXIMA,3
AREA DE CHOQUE,DOXICICLINA,4
TERAPIA INTENSIVA PEDIATRICA,VANCOMICINA,8
TERAPIA INTENSIVA,LEVETIRACETAM,3
AREA DE CHOQUE,SERO,3
AREA DE CHOQUE,ESPIRONOLACTONA,3
AREA DE CHOQUE,PROPRANOLOL,3
GINECO OBSTETRICIA,CEFALOTINA,3
AREA DE CHOQUE,DEXMEDETOMIDINA,8
UROLOGIA,LACTULOSA,2
MEDICINA INTERNA,TOPIRAMATO,12
TERAPIA INTENSIVA,PARACETAMOL,1
TERAPIA INTENSIVA,AMIKACINA,4
GINECO OBSTETRICIA,NIFEDIPINO,1
ORTOPEDIA,NIFEDIPINO,1
ORTOPEDIA,KETOROLACO,4
TERAPIA INTENSIVA PEDIATRICA,MEROPENEM,3
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,3
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,20
UROLOGIA (CONSULTA),CEFALOTINA,3
URGENCIAS,HALOPERIDOL,3
URGENCIAS,CASPOFUNGINA,4
URGENCIAS,TRIMETOPRIM/SULFAMETOXAZOL,5
URGENCIAS,CEFEPIME,5
CIRUGIA GENERAL,LOPERAMIDA,8
URGENCIAS,URSODEOXICOLICO,3
URGENCIAS PEDIATRICAS,CEFALOTINA,3
URGENCIAS,LOPERAMIDA,6
URGENCIAS,ACETILCISTEINA,6
TERAPIA INTENSIVA,SULFATO,30
TERAPIA INTENSIVA,CLORURO,30
TERAPIA INTENSIVA,FOSFATO,30
ENDOSCOPIA,EFEDRINA,0
ENDOSCOPIA,INDOMETACINA,20
ENDOSCOPIA,METOCLOPRAMIDA,18
ENDOSCOPIA,CLORURO,5
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,HIDROCORTISONA,0
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,OMEPRAZOL,11
URGENCIAS PEDIATRICAS,BUPRENORFINA,6
URGENCIAS PEDIATRICAS,MIDAZOLAM,5
CIRUGIA GENERAL,CLONAZEPAM,1
OFTALMOLOGIA (HOSPITALIZACION),HIALURONATO,4
QUIROFANOS,SERO,8
URGENCIAS PEDIATRICAS,AMIODARONA,1
URGENCIAS GINECOBSTETRICAS,ADENOSINA,3
URGENCIAS GINECOBSTETRICAS,NITROGLICERINA,1
PEDIATRIA CLINICA,PREDNISONA,10
PEDIATRIA CLINICA,TIAMINA,4
MEDICINA INTERNA,SERTRALINA,5
GINECO OBSTETRICIA,KETOROLACO,40
GINECO OBSTETRICIA,PARACETAMOL,24
CIRUGIA GENERAL,PROPRANOLOL,1
CIRUGIA GENERAL,FOSFATO,3
CIRUGIA GENERAL,LEVETIRACETAM,2
