DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE,PRECIO MAXIMO DE VENTA TRANSACCION FINAL COMERCIAL
PERTUZUMAB,PERJETA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
OBINUTUZUMAB,GAZYVA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
CRIZOTINIB,XALKORI,SOLIDO,PFIZER,NO REGULADO
IBRUTINIB,IMBRUVICA,SOLIDO,JANSSEN,NO REGULADO
IBRUTINIB,IMBRUVICA280,SOLIDO,JANSSEN,NO REGULADO
VISMODEGIB,ERIVEDGE,SOLIDO,ROCHE,NO REGULADO
CARFILZOMIB,XAFILRED,LIQUIDO/SOLIDO,DR REDDY,NO REGULADO
CARFILZOMIB,KYPROLIS,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
ENZALUTAMIDA,ENZALUTAMIDA,SOLIDO,TECNOQUIMICAS,NO REGULADO
ENZALUTAMIDA,ALUDEL,SOLIDO,PROCAPS,NO REGULADO
ENZALUTAMIDA,XTANDI,SOLIDO,ASTELLAS,NO REGULADO
MIFAMURTIDA,MEPACT,LIQUIDO/SOLIDO,TAKEDA,NO REGULADO
BELIMUMAB,BENLYSTA,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
GOLIMUMAB,SIMPONI,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
CANAKINUMAB,ILARIS,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
PARECOXIB,DYNASTAT,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
BENDAMUSTINA,GENSTINA,LIQUIDO/SOLIDO,GENBIE,NO REGULADO
BENDAMUSTINA,BENDAMUSTINA,LIQUIDO/SOLIDO,BLAU,NO REGULADO
BENDAMUSTINA,XEBINA,LIQUIDO/SOLIDO,LKM,NO REGULADO
BENDAMUSTINA,BENDAMUSTINA,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
BENDAMUSTINA,RAMIZA,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
BENDAMUSTINA,BENDAL,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
BENDAMUSTINA,LEUKUSTIM,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
BENDAMUSTINA,BESUMID,LIQUIDO/SOLIDO,HETERO,NO REGULADO
BENDAMUSTINA,DEMUSTIN,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
BENDAMUSTINA,RIBOMUSTIN,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
ABIRATERONA,ARABITRO,SOLIDO,GLENMARK,NO REGULADO
ABIRATERONA,NEXTERONA,SOLIDO,NEXT PHARMA,NO REGULADO
ABIRATERONA,BIRANONA,SOLIDO,LEGRAND,NO REGULADO
ABIRATERONA,ABIRASUN,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ABIRATERONA,TERONRED,SOLIDO,DR REDDYS,NO REGULADO
ABIRATERONA,ZYVALIX,SOLIDO,LKM,NO REGULADO
ABIRATERONA,ZYTIGA,SOLIDO,JANSSEN,NO REGULADO
TAPENTADOL,XOLTAP,SOLIDO,LAFRANCOL,NO REGULADO
METFORMINA,KOMBIGLYZE,SOLIDO,ASTRAZENECA,NO REGULADO
VILANTEROL,ANORO ELLIPTA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
MACITENTAN,MACITENTAN,SOLIDO,TECNOQUIMICAS,NO REGULADO
MACITENTAN,MACITENT,SOLIDO,MSN,NO REGULADO
VORTIOXETINA,KELAC,SOLIDO,LAFRANCOL,NO REGULADO
ULIPRISTAL,ACETATO DE ULIPRISTAL,SOLIDO,GEDEON RICHTER,NO REGULADO
ULIPRISTAL,ESMYA,SOLIDO,GEDEON RICHTER,NO REGULADO
APIXABAN,KEIXA,SOLIDO,XINETIX PHARMA,NO REGULADO
APIXABAN,ELIQUIS,SOLIDO,PFIZER,NO REGULADO
EPLERENONA,EPNONE,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
EPLERENONA,CARDIONONA,SOLIDO,LEGRAND,NO REGULADO
EPLERENONA,ACENOL,SOLIDO,SYNTHESIS,NO REGULADO
EPLERENONA,INSPRA,SOLIDO,PFIZER,NO REGULADO
COLISTIMETATO,OLIXATO,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
COLISTIMETATO,COLISTIMETATO DE SODIO,LIQUIDO/SOLIDO,ANTIBIOTICOS DE COLOMBIA,NO REGULADO
COLISTIMETATO,COLISTIMETATO,LIQUIDO/SOLIDO,AMAREY NOVAMEDICAL,NO REGULADO
COLISTIMETATO,COLIS,COLISTINA 346MG/1U,INYECTABLE/INHALATORIA X 10,NO REGULADO
COLISTIMETATO,COLIS,COLISTINA 346MG/1U,INYECTABLE/INHALATORIA X 1,NO REGULADO
COLISTIMETATO,COLISTIMETATO,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
AZACITIDINA,ARGAXIT,LIQUIDO/SOLIDO,XINETIX,NO REGULADO
AZACITIDINA,NEXTIDINA,LIQUIDO/SOLIDO,NEXT PHARMA,NO REGULADO
AZACITIDINA,ICLACITIDINA,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
AZACITIDINA,AZACITIDINA,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
AZACITIDINA,REMITIVA,LIQUIDO/SOLIDO,LABORATORIO INTERNACIONAL ARGENTINO,NO REGULADO
AZACITIDINA,AZACYT,LIQUIDO/SOLIDO,INTAS,NO REGULADO
CABAZITAXEL,ZITAT,LIQUIDO/SOLIDO,LKM,NO REGULADO
CABAZITAXEL,CABAZRED,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
CLADRIBINA,LITAK,LIQUIDO/SOLIDO,LIPOMED,NO REGULADO
DARIFENACINA,DARUCIL ER,SOLIDO,LEGRAND,NO REGULADO
ELTROMBOPAG,TROMBOLADE,SOLIDO,THE LABS,NO REGULADO
ELTROMBOPAG,BIEMPAG,SOLIDO,GENBIE,NO REGULADO
IRINOTECAN,ROTECAN,LIQUIDO/SOLIDO,HETERO,NO REGULADO
IRINOTECAN,IRINOSEVEN 40,LIQUIDO/SOLIDO,SEVEN PHARMA,NO REGULADO
IRINOTECAN,ITOXARIL,LIQUIDO/SOLIDO,LKM,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,UNIPHARM,NO REGULADO
IRINOTECAN,BLASTOVIN,LIQUIDO/SOLIDO,TUTEUR,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,VENUS,NO REGULADO
IRINOTECAN,IRINOCYT,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
IRINOTECAN,IRINKAN,LIQUIDO/SOLIDO,PISA,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,LIBRA,NO REGULADO
IRINOTECAN,CLORHIDRATO,LIQUIDO/SOLIDO,BLAU,NO REGULADO
MESALAZINA,MESILAX,SOLIDO,HUMAX,NO REGULADO
MESALAZINA,MESILAX,LIQUIDO,HUMAX,NO REGULADO
MESALAZINA,PENTASA,LIQUIDO,FERRING,NO REGULADO
MESALAZINA,MESAX,LIQUIDO,LABINCO,NO REGULADO
MESALAZINA,MESAZINA,SOLIDO,TAKEDA,NO REGULADO
MESALAZINA,MELIZINA,SOLIDO,FARMASER,NO REGULADO
MESALAZINA,MECOLZINE,SOLIDO,FAES FARMA,NO REGULADO
MESALAZINA,SULIMAX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MESALAZINA,MELAZ,SOLIDO,LAFRANCOL,NO REGULADO
MESALAZINA,MESALAZINA,SOLIDO,HUMAX,NO REGULADO
METOXIPOLIETILENGLICOL,MIRCERA,EPOETINA BETA 0075MG/03ML (025MG/1ML),INYECTABLE X 1,NO REGULADO
RANIBIZUMAB,LUCENTIS,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
RASAGILINA,ZAGIL,SOLIDO,GENEPHARMA,NO REGULADO
RASAGILINA,RAZATEC05,SOLIDO,XINETIX,NO REGULADO
RASAGILINA,SONKINPAR,SOLIDO,ID PHARMA,NO REGULADO
RASAGILINA,RASANDAR,SOLIDO,ALTADIS,NO REGULADO
RASAGILINA,IMPRUVIA,SOLIDO,AXON,NO REGULADO
RASAGILINA,GIPAX,SOLIDO,BIOPAS,NO REGULADO
RASAGILINA,RAZATEC,SOLIDO,XINETIX PHARMA,NO REGULADO
TENOFOVIR,FENOVIRAL,SOLIDO,VANTAGE GLOBAL,NO REGULADO
TENOFOVIR,DUOPETSA,SOLIDO,THE LABS,NO REGULADO
TENOFOVIR,TENARTA EM,SOLIDO,MYLAN,NO REGULADO
TENOFOVIR,DIDIVIR,SOLIDO,CIPLA,NO REGULADO
TENOFOVIR,EMTRICITABINA,SOLIDO,SALUSPHARMA,NO REGULADO
TENOFOVIR,EMTRIFOVIR,SOLIDO,FARMATECH,NO REGULADO
TENOFOVIR,EMTRICITABINA,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
TENOFOVIR,FOVIREM,SOLIDO,HETERO,NO REGULADO
TENOFOVIR,TOLAK,SOLIDO,LEGRAND,NO REGULADO
TENOFOVIR,EMTRICITABINA,SOLIDO,AUROBINDO,NO REGULADO
TENOFOVIR,INMUNOVIR DUO,SOLIDO,MEDISPRAY,NO REGULADO
TENOFOVIR,TRUVADA,SOLIDO,GILEAD,NO REGULADO
EMTRICITABINA,COMPLERA,SOLIDO,GILEAD,NO REGULADO
PEMBROLIZUMAB,KEYTRUDA,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
LAMOTRIGINA,LAMOLET,SOLIDO,EUROFARMA,NO REGULADO
LAMOTRIGINA,LAMEZ,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
LAMOTRIGINA,LAMOTRIGINA,SOLIDO,TECNOQUIMICAS,NO REGULADO
LAMOTRIGINA,LATRIMED,SOLIDO,SANOFI AVENTIS,NO REGULADO
LAMOTRIGINA,LATRIMED,SOLIDO,WINTHROP,NO REGULADO
LAMOTRIGINA,LAFIGIN,SOLIDO,SYNTHESIS,NO REGULADO
LAMOTRIGINA,LAMOTRIGINA,SOLIDO,HUMAX,NO REGULADO
LAMOTRIGINA,LAMOTRIGINA SANDOZ,SOLIDO,SANDOZ,NO REGULADO
LAMOTRIGINA,LAMOTRIGINA,SOLIDO,SANDOZ,NO REGULADO
LAMOTRIGINA,FENEBRA,SOLIDO,PISA,NO REGULADO
LAMOTRIGINA,LAMETEC,SOLIDO,PINT PHARMA,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,PAULY,NO REGULADO
CLOPIDOGREL,TRIMEDAT,SOLIDO,MINTLAB,NO REGULADO
CLOPIDOGREL,VICAFIDT,SOLIDO,PISA,NO REGULADO
CLOPIDOGREL,PLATEMAX,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,LAPROFF,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,PENTACOOP,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,NTI NEW TRADE,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,LEGRAND,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,GENFAR,NO REGULADO
CLOPIDOGREL,TROMBOXTYL,SOLIDO,BIOQUIFAR,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,MEMPHIS,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,AMERICAN GENERICS,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,LA SANTE,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,TECNOQUIMICAS,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL MK,SOLIDO,TECNOQUIMICAS,NO REGULADO
CLOPIDOGREL,ATEPLAX,SOLIDO,PROCAPS,NO REGULADO
CLOPIDOGREL,ATELIT,SOLIDO,LAFRANCOL,NO REGULADO
TOPIRAMATO,TOPIVITAE,SOLIDO,GALENICUM HEALTH,NO REGULADO
TOPIRAMATO,TOPICTAL,SOLIDO,MONTE VERDE,NO REGULADO
TOPIRAMATO,TOPIRAMATO SANDOZ,SOLIDO,SANDOZ,NO REGULADO
SUNITINIB,SUTENT,SOLIDO,PFIZER,NO REGULADO
ORLISTAT,XENICAL,SOLIDO,CHEPLAPHARM,NO REGULADO
ORLISTAT,SOGRAS R,SOLIDO,GIMED,NO REGULADO
ORLISTAT,ORLISHER,SOLIDO,HERSON,NO REGULADO
ORLISTAT,LINADEX,SOLIDO,BIOCHEM,NO REGULADO
ORLISTAT,FINOBES,SOLIDO,JOINPHARM,NO REGULADO
ORLISTAT,ANGIOSTAT,SOLIDO,COMERFAR,NO REGULADO
ORLISTAT,ORLIFAR,SOLIDO,PATMAR,NO REGULADO
ORLISTAT,LIPOGRAS,SOLIDO,NOVAMED,NO REGULADO
ORLISTAT,OBEDRIN,SOLIDO,BIOQUIMICO PHARMA,NO REGULADO
ORLISTAT,RISEMAX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
ORLISTAT,ORLISTAT,SOLIDO,COASPHARMA,NO REGULADO
ORLISTAT,ORLISTAT,SOLIDO,PISA,NO REGULADO
ORLISTAT,SILENE,SOLIDO,GRUFARMA,NO REGULADO
ORLISTAT,GRAZILAN,SOLIDO,MATPRIFAR,NO REGULADO
ORLISTAT,TRIMFAT,SOLIDO,FARMA,NO REGULADO
ORLISTAT,YASTA,SOLIDO,PROCAPS,NO REGULADO
ORLISTAT,ORLISTAT,SOLIDO,ECAR,NO REGULADO
ORLISTAT,XEROGRAS,SOLIDO,GALENO QUIMICA,NO REGULADO
ORLISTAT,ORLISTAT,SOLIDO,LA SANTE,NO REGULADO
ORLISTAT,LIPPOX,SOLIDO,BUSSIE,NO REGULADO
ORLISTAT,ORLISTAT,SOLIDO,GENFAR,NO REGULADO
ORLISTAT,SIDELG,SOLIDO,GENFAR,NO REGULADO
ORLISTAT,DISGRASIL,SOLIDO,LAFRANCOL,NO REGULADO
ORLISTAT,ORLISTAT,SOLIDO,PROCAPS,NO REGULADO
CILOSTAZOL,CILOSVITAE,SOLIDO,GALENICUM HEALTH,NO REGULADO
CILOSTAZOL,ANGIOVAN,SOLIDO,MK,NO REGULADO
CILOSTAZOL,CIRVENZOL,SOLIDO,MATPRIFAR,NO REGULADO
IVABRADINE,IVABRADINA,SOLIDO,SICMAFARMA,NO REGULADO
IVABRADINE,IVABEAT,SOLIDO,CIPLA,NO REGULADO
IVABRADINE,IVABEAT,IVABRADINA 5MG/1U,ORAL X 28,NO REGULADO
IVABRADINE,IVABEAT,IVABRADINA 5MG/1U,ORAL X 14,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,NOVARTIS,NO REGULADO
VALSARTAN,VALUTOL,SOLIDO,LABORATORIOS MINTLAB,NO REGULADO
VALSARTAN,SALVARA,SOLIDO,MERCK,NO REGULADO
VALSARTAN,RACORVAL,SOLIDO,SIEGFRIED,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,HETERO,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,SALUSPHARMA,NO REGULADO
VALSARTAN,CLEMBROXOL,SOLIDO,ALTADIS,NO REGULADO
VALSARTAN,VALSARVITAE,SOLIDO,GALENICUM HEALTH,NO REGULADO
VALSARTAN,BRASARTAN,SOLIDO,FARMA,NO REGULADO
VALSARTAN,VALSAD,SOLIDO,DUMIAN,NO REGULADO
VALSARTAN,VARTAZ,SOLIDO,EUROFARMA,NO REGULADO
VALSARTAN,CARDIK,SOLIDO,LEGRAND,NO REGULADO
VALSARTAN,CARDIOTAN,SOLIDO,HUMAX,NO REGULADO
VALSARTAN,DIOVAN,SOLIDO,NOVARTIS,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,COASPHARMA,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,GENFAR,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,LA SANTE,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,AMERICAN GENERICS,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,HUMAX,NO REGULADO
VALSARTAN,VARCOR,SOLIDO,PROCAPS,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,PROCAPS,NO REGULADO
VALSARTAN,VALSAPREX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
VALSARTAN,VALTAN,SOLIDO,LAFRANCOL,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,MK,NO REGULADO
CANDESARTAN,CANDESAM,SOLIDO,LAFRANCOL,NO REGULADO
CANDESARTAN,CANDESARTAN,SOLIDO,BLUEPHARMA,NO REGULADO
CANDESARTAN,EUROPRES,SOLIDO,SAVAL,NO REGULADO
CANDESARTAN,CANDESARTAN,SOLIDO,TECNOQUIMICAS,NO REGULADO
CANDESARTAN,CANDESARTAN,SOLIDO,AMERICAN GENERICS,NO REGULADO
CANDESARTAN,CANDESARTAN,SOLIDO,GENFAR,NO REGULADO
CANDESARTAN,CANDESARTAN,SOLIDO,LA SANTE,NO REGULADO
FENOFIBRATO,FENOLIP,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
FENOFIBRATO,NORTRICOL,SOLIDO,SIEGFRIED,NO REGULADO
FENOFIBRATO,FENOFIB,SOLIDO,MATPRIFAR,NO REGULADO
FENOFIBRATO,NORMOLIP,SOLIDO,SYNTHESIS,NO REGULADO
CIPROFIBRATO,CIPROFIBRATO,SOLIDO,TECNOQUIMICAS,NO REGULADO
CIPROFIBRATO,FIBROLIP,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
CABERGOLINA,CABERGOLINA,SOLIDO,MK,NO REGULADO
CABERGOLINA,ERGOLIN,SOLIDO,BLUEPHARMA,NO REGULADO
CABERGOLINA,PROLASTAT,SOLIDO,SIEGFRIED,NO REGULADO
DUTASTERIDA,DUTASTERIDE,SOLIDO,CIPLA,NO REGULADO
DUTASTERIDA,DUTAZ,SOLIDO,LEGRAND,NO REGULADO
DUTASTERIDA,DUTASVITAE,SOLIDO,GALENICUM HEALTH,NO REGULADO
DUTASTERIDA,URTAL,SOLIDO,LAFRANCOL,NO REGULADO
DEFLAZACORT,CLOBAK,SOLIDO,INCOBRA,NO REGULADO
DEFLAZACORT,DEFLAZACORT,SOLIDO,INCOBRA,NO REGULADO
DEFLAZACORT,DEFLAZACORT,SOLIDO,LAPROFF,NO REGULADO
DEFLAZACORT,AVANTIUM,SOLIDO,NEVOX,NO REGULADO
DEFLAZACORT,DEFAL,SOLIDO,FAES FARMA,NO REGULADO
DEFLAZACORT,DEFLAZACORT,SOLIDO,AMERICAN GENERICS,NO REGULADO
DEFLAZACORT,LANDACORT,SOLIDO,LEGRAND,NO REGULADO
DEFLAZACORT,DEFLAZACORT,SOLIDO,GENFAR,NO REGULADO
DEFLAZACORT,CORTIDEXAN,SOLIDO,BIOQUIFAR,NO REGULADO
DEFLAZACORT,GARMISCH,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DEFLAZACORT,GARMISCH DEFLAX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DEFLAZACORT,DEFLAZACORT,SOLIDO,TECNOQUIMICAS,NO REGULADO
DARUNAVIR,PREDARU,SOLIDO,LAFRANCOL,NO REGULADO
DARUNAVIR,DARUNAVIR,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
DARUNAVIR,DARUNAX,SOLIDO,LEGRAND,NO REGULADO
DARUNAVIR,DURART,SOLIDO,MYLAN,NO REGULADO
DARUNAVIR,DARIVIH,SOLIDO,HUMAX,NO REGULADO
DARUNAVIR,DARUVIR,SOLIDO,CIPLA,NO REGULADO
DARUNAVIR,PROTINAVIR,SOLIDO,VANTAGE GLOBAL,NO REGULADO
DARUNAVIR,FURTHAS,SOLIDO,THE LABS,NO REGULADO
DARUNAVIR,SARUX,SOLIDO,BALANCE,NO REGULADO
DARUNAVIR,PRENAVIR,SOLIDO,SALUSPHARMA,NO REGULADO
DARUNAVIR,DARUNAVIR,SOLIDO,SALUSPHARMA,NO REGULADO
DARUNAVIR,DARUHET,SOLIDO,HETERO,NO REGULADO
DARUNAVIR,PREZISTA,SOLIDO,JANSSEN,NO REGULADO
ENTECAVIR,KALVIR,SOLIDO,LEGRAND,NO REGULADO
ENTECAVIR,ENTEKLUD,SOLIDO,XINETIX PHARMA,NO REGULADO
ENTECAVIR,ENTEKLUD,SOLIDO,XINETIX,NO REGULADO
ENTECAVIR,TECABEN,SOLIDO,HETERO,NO REGULADO
ENTECAVIR,ZENTAIR,SOLIDO,CIPLA,NO REGULADO
ENTECAVIR,VORIX,SOLIDO,LAFRANCOL,NO REGULADO
ENTECAVIR,BARACLUDE,SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
ETRAVIRINA,INTELENCE,SOLIDO,JANSSEN,NO REGULADO
ERLOTINIB,JUNET,SOLIDO,LEGRAND,NO REGULADO
ERLOTINIB,ERLOCIP,SOLIDO,CIPLA,NO REGULADO
ERLOTINIB,LOTINERCAN,SOLIDO,WILLOW,NO REGULADO
ERLOTINIB,TIRLEB,SOLIDO,LKM,NO REGULADO
ERLOTINIB,LOTINERCAN,SOLIDO,WILLOW PHARMA,NO REGULADO
ERLOTINIB,TARCEVA,SOLIDO,ROCHE,NO REGULADO
LETROZOL,LET25MG,SOLIDO,EUROFARMA,NO REGULADO
LETROZOL,LETROZOL,SOLIDO,NOVARTIS,NO REGULADO
LETROZOL,CREATINON,SOLIDO,ALTADIS,NO REGULADO
LETROZOL,LATOREN,SOLIDO,LEGRAND,NO REGULADO
LETROZOL,LETARA,SOLIDO,CIPLA,NO REGULADO
LETROZOL,LETMAM,SOLIDO,NOVAMED,NO REGULADO
LETROZOL,LETROLE,SOLIDO,HETERO,NO REGULADO
LETROZOL,HB ONCOBREAST,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
LETROZOL,LETRO SEVEN,SOLIDO,SEVEN PHARMA,NO REGULADO
LETROZOL,LETROZOL,SOLIDO,CALIER,NO REGULADO
LETROZOL,LETROZOL,SOLIDO,HEALTH NET,NO REGULADO
LETROZOL,FEMGARD,SOLIDO,PINT PHARMA,NO REGULADO
RISEDRONICO,RISEDRONATO,SOLIDO,AMERICAN GENERICS,NO REGULADO
RISEDRONICO,ACTONEL,SOLIDO,SANOFI AVENTIS,NO REGULADO
RISEDRONICO,RISEDRONATO,SOLIDO,MK,NO REGULADO
GABAPENTIN,GABAPENTINA,SOLIDO,NORMON,NO REGULADO
GABAPENTIN,GAFEN,SOLIDO,SIEGFRIED,NO REGULADO
GABAPENTIN,GABAPENTIN,SOLIDO,MK,NO REGULADO
GABAPENTIN,NEURONTIN600,SOLIDO,PFIZER,NO REGULADO
ARIPIPRAZOL,BISOZA,SOLIDO,LA SANTE,NO REGULADO
ARIPIPRAZOL,STROZOVEN,SOLIDO,HETERO,NO REGULADO
ARIPIPRAZOL,ARIVITAE,SOLIDO,GALENICUM,NO REGULADO
ARIPIPRAZOL,PRAZENTOL,SOLIDO,ALTADIS,NO REGULADO
ARIPIPRAZOL,ZOLAPRIL,SOLIDO,KERN PHARMA,NO REGULADO
ARIPIPRAZOL,IRAZEM,SOLIDO,SIEGFRIED,NO REGULADO
ARIPIPRAZOL,IPIPRAL,SOLIDO,HUMAX,NO REGULADO
ARIPIPRAZOL,ARIPRAZOL,SOLIDO,BUSSIE,NO REGULADO
ARIPIPRAZOL,ILIMIT ROEMMERS,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TREPROSTINILO,REMODULIN,LIQUIDO,FERRER,NO REGULADO
MIRTAZAPINA,ZANIA,SOLIDO,BLUEPHARMA,NO REGULADO
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,SALUSPHARMA,NO REGULADO
MIRTAZAPINA,EPILFARMO,SOLIDO,ALTADIS,NO REGULADO
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,TECNOQUIMICAS,NO REGULADO
MIRTAZAPINA,MIRTAZAPINA HUMAX,SOLIDO,HUMAX,NO REGULADO
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,WINTHROP,NO REGULADO
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,SANDOZ,NO REGULADO
MIRTAZAPINA,TAZEPIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MIRTAZAPINA,MIRTAZAPINA,SOLIDO,PROCAPS,NO REGULADO
MIRTAZAPINA,MIRTAPAX,SOLIDO,MONTE VERDE,NO REGULADO
BUPROPION,BUPRION,SOLIDO,EUROFARMA,NO REGULADO
DULOXETINA,CLORHIDRATO,SOLIDO,MOMENTA,NO REGULADO
DULOXETINA,DULOXETINA,SOLIDO,COLMED,NO REGULADO
DULOXETINA,DEPULOX,SOLIDO,HETERO,NO REGULADO
DULOXETINA,NOVAFLEX,SOLIDO,LEGRAND,NO REGULADO
DULOXETINA,DU-TWO,SOLIDO,AUROBINDO,NO REGULADO
DULOXETINA,DULMAR,SOLIDO,GLOBAL MARKETING FARMACEUTICA,NO REGULADO
DULOXETINA,DUXETINA,SOLIDO,BUSSIE,NO REGULADO
DULOXETINA,DRUGTECH,SOLIDO,SYNTHESIS,NO REGULADO
DULOXETINA,DRUGTECH CIMAL,SOLIDO,SYNTHESIS,NO REGULADO
DULOXETINA,NITEXOL,SOLIDO,ANDROMACO,NO REGULADO
DULOXETINA,ALACIR,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DONEPEZIL,ARIZIL,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
DONEPEZIL,PEZICEP,SOLIDO,PINT PHARMA,NO REGULADO
DONEPEZIL,DRUGTECH DAZOLIN,SOLIDO,SYNTHESIS,NO REGULADO
DONEPEZIL,LINDEZIP,SOLIDO,HETERO,NO REGULADO
DONEPEZIL,ALZHER,SOLIDO,SANICOL,NO REGULADO
DONEPEZIL,NEPECIL,SOLIDO,MATPRIFAR,NO REGULADO
DONEPEZIL,DONEPEZILO,SOLIDO,LA SANTE,NO REGULADO
DONEPEZIL,GLIX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DONEPEZIL,GLIX,SOLIDO,MEGALABS,NO REGULADO
DONEPEZIL,DONECIL,SOLIDO,ANDROMACO,NO REGULADO
DONEPEZIL,DRUGTECH,SOLIDO,SYNTHESIS,NO REGULADO
DONEPEZIL,PROCAPS,SOLIDO,PROCAPS,NO REGULADO
MONTELUKAST,SINGULAIR,SOLIDO,MERCK SHARP DOME,NO REGULADO
MONTELUKAST,PREVIASM,SOLIDO,EUROFARMA,NO REGULADO
MONTELUKAST,MONTESHER,SOLIDO,HERSON,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,HETERO,NO REGULADO
MONTELUKAST,AIRCYS,SOLIDO,MATPRIFAR,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,MOMENTA,NO REGULADO
MONTELUKAST,MONTIDE,SOLIDO,CIPLA,NO REGULADO
MONTELUKAST,AIROMED,SOLIDO,NOVAMED,NO REGULADO
MONTELUKAST,SUVIAR,SOLIDO,UNIPHARM,NO REGULADO
MONTELUKAST,LEUTRIEN,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
MONTELUKAST,KASTAMON,SOLIDO,SANDOZ,NO REGULADO
